wavelength_nm,R,G,B,Gray
400.0,0.622669919,0.395140672,0.647104463,0.524933396
400.1,0.623866551,0.39568244,0.648170314,0.525773854
400.2,0.625063182,0.396224208,0.649236165,0.526614312
400.3,0.626259814,0.396765976,0.650302016,0.527454769
400.4,0.627456445,0.397307744,0.651367866,0.528295227
400.5,0.628653077,0.397849512,0.652433717,0.529135684
400.6,0.627736379,0.396531723,0.653152097,0.528432979
400.7,0.626294285,0.394751628,0.653784092,0.527346627
400.8,0.624852191,0.392971533,0.654416086,0.526260274
400.9,0.623410096,0.391191439,0.655048081,0.525173921
401.0,0.621968002,0.389411344,0.655680076,0.524087569
401.1,0.620525907,0.387631249,0.656312071,0.523001216
401.2,0.619083813,0.385851154,0.656944066,0.521914864
401.3,0.617641719,0.384071059,0.65757606,0.520828511
401.4,0.616199624,0.382290964,0.658208055,0.519742158
401.5,0.613876111,0.38028179,0.658669718,0.518302191
401.6,0.611470574,0.378251298,0.659115531,0.516829318
401.7,0.609065038,0.376220806,0.659561343,0.515356444
401.8,0.606659502,0.374190314,0.660007156,0.513883571
401.9,0.604253966,0.372159822,0.660452968,0.512410697
402.0,0.60184843,0.370129331,0.660898781,0.510937824
402.1,0.599442894,0.368098839,0.661344594,0.50946495
402.2,0.597037358,0.366068347,0.661790406,0.507992077
402.3,0.594684563,0.364071731,0.662242672,0.506550277
402.4,0.594107725,0.363215829,0.662912245,0.506154815
402.5,0.593530887,0.362359927,0.663581818,0.505759354
402.6,0.59295405,0.361504024,0.664251391,0.505363893
402.7,0.592377212,0.360648122,0.664920964,0.504968431
402.8,0.591800374,0.359792219,0.665590536,0.50457297
402.9,0.591223536,0.358936317,0.666260109,0.504177509
403.0,0.590646699,0.358080415,0.666929682,0.503782047
403.1,0.590069861,0.357224512,0.667599255,0.503386586
403.2,0.589740169,0.356577323,0.668348841,0.503177915
403.3,0.590893844,0.357182828,0.669578669,0.504090355
403.4,0.59204752,0.357788334,0.670808497,0.505002796
403.5,0.593201195,0.358393839,0.672038325,0.505915236
403.6,0.594354871,0.358999345,0.673268152,0.506827677
403.7,0.595508546,0.35960485,0.67449798,0.507740117
403.8,0.596662222,0.360210355,0.675727808,0.508652558
403.9,0.597815897,0.360815861,0.676957635,0.509564998
404.0,0.598969573,0.361421366,0.678187463,0.510477439
404.1,0.600137431,0.36199063,0.679285703,0.511336051
404.2,0.601346335,0.362455002,0.680003103,0.512038873
404.3,0.60255524,0.362919375,0.680720502,0.512741694
404.4,0.603764145,0.363383748,0.681437902,0.513444516
404.5,0.604973049,0.36384812,0.682155301,0.514147338
404.6,0.606181954,0.364312493,0.682872701,0.514850159
404.7,0.607390858,0.364776865,0.6835901,0.515552981
