wavelength_nm,R,G,B,Gray
400.0,0.94734795,0.953738196,0.887150579,0.951803748
400.1,0.946476839,0.952594379,0.886515359,0.95079174
400.2,0.945605728,0.951450562,0.885880138,0.949779732
400.3,0.944734617,0.950306746,0.885244918,0.948767724
400.4,0.943863506,0.949162929,0.884609697,0.947755716
400.5,0.942992395,0.948019113,0.883974477,0.946743708
400.6,0.941981751,0.946875296,0.882830514,0.945634753
400.7,0.940936418,0.945731479,0.881560073,0.944501697
400.8,0.939891084,0.944587663,0.880289632,0.943368641
400.9,0.938845751,0.943443846,0.879019191,0.942235584
401.0,0.937800418,0.94230003,0.87774875,0.941102528
401.1,0.936755085,0.941156213,0.876478309,0.939969472
401.2,0.935709751,0.940012396,0.875207868,0.938836415
401.3,0.934664418,0.93886858,0.873937427,0.937703359
401.4,0.933619085,0.937724763,0.872666985,0.936570303
401.5,0.933759214,0.937878094,0.873031004,0.936741886
401.6,0.934009658,0.938152133,0.873547121,0.937034876
401.7,0.934260103,0.938426173,0.874063238,0.937327865
401.8,0.934510547,0.938700212,0.874579354,0.937620855
401.9,0.934760992,0.938974251,0.875095471,0.937913844
402.0,0.935011436,0.939248291,0.875611588,0.938206834
402.1,0.93526188,0.93952233,0.876127704,0.938499823
402.2,0.935512325,0.93979637,0.876643821,0.938792813
402.3,0.93579543,0.940106147,0.877205739,0.939121825
402.4,0.937178319,0.941619321,0.879309907,0.94066382
402.5,0.938561207,0.943132495,0.881414075,0.942205815
402.6,0.939944096,0.944645669,0.883518243,0.94374781
402.7,0.941326985,0.946158843,0.885622411,0.945289806
402.8,0.942709874,0.947672017,0.887726579,0.946831801
402.9,0.944092762,0.949185191,0.889830747,0.948373796
403.0,0.945475651,0.950698365,0.891934915,0.949915791
403.1,0.94685854,0.952211539,0.894039083,0.951457786
403.2,0.94819633,0.953675366,0.896027962,0.95294475
403.3,0.949263441,0.954843012,0.89732487,0.954101411
403.4,0.950330552,0.956010659,0.898621779,0.955258073
403.5,0.951397663,0.957178305,0.899918687,0.956414735
403.6,0.952464774,0.958345951,0.901215596,0.957571396
403.7,0.953531885,0.959513597,0.902512505,0.958728058
403.8,0.954598996,0.960681243,0.903809413,0.95988472
403.9,0.955666107,0.961848889,0.905106322,0.961041381
404.0,0.956733218,0.963016535,0.906403231,0.962198043
404.1,0.957699667,0.964074035,0.9075778,0.963245595
404.2,0.958374778,0.96481275,0.908398293,0.96397736
404.3,0.959049889,0.965551465,0.909218786,0.964709126
404.4,0.959725,0.96629018,0.910039279,0.965440891
404.5,0.960400111,0.967028895,0.910859772,0.966172657
404.6,0.961075222,0.96776761,0.911680266,0.966904422
404.7,0.961750333,0.968506325,0.912500759,0.967636188
404.8,0.962425444,0.96924504,0.913321252,0.968367953
404.9,0.963100555,0.969983755,0.914141745,0.969099719
405.0,0.962693685,0.969383936,0.915178131,0.968724446
405.1,0.960450574,0.966512479,0.91658091,0.966470407
405.2,0.958207463,0.963641023,0.917983689,0.964216369
405.3,0.955964352,0.960769567,0.919386467,0.96196233
405.4,0.953721241,0.95789811,0.920789246,0.959708292
405.5,0.95147813,0.955026654,0.922192025,0.957454253
405.6,0.949235019,0.952155198,0.923594803,0.955200215
405.7,0.946991909,0.949283742,0.924997582,0.952946176
405.8,0.944748798,0.946412285,0.926400361,0.950692138
405.9,0.943418835,0.943933569,0.925833743,0.94876218
