wavelength_nm,R,G,B,Gray
400.0,0.956484064,0.293984908,0.316472692,0.355415398
400.1,0.960598389,0.294608356,0.317435857,0.35636607
400.2,0.964712715,0.295231805,0.318399023,0.357316742
400.3,0.968827041,0.295855253,0.319362189,0.358267414
400.4,0.972941366,0.296478701,0.320325355,0.359218085
400.5,0.977055692,0.29710215,0.32128852,0.360168757
400.6,0.976991147,0.297154291,0.32144649,0.360226011
400.7,0.975887688,0.297064398,0.32140428,0.36006115
400.8,0.974784229,0.296974506,0.321362069,0.35989629
400.9,0.97368077,0.296884613,0.321319859,0.359731429
401.0,0.972577311,0.296794721,0.321277649,0.359566569
401.1,0.971473852,0.296704828,0.321235438,0.359401708
401.2,0.970370393,0.296614935,0.321193228,0.359236848
401.3,0.969266934,0.296525043,0.321151017,0.359071987
401.4,0.968163475,0.29643515,0.321108807,0.358907127
401.5,0.963469022,0.29587039,0.320220536,0.357969118
401.6,0.958440401,0.295261441,0.319253533,0.356959162
401.7,0.953411781,0.294652491,0.31828653,0.355949207
401.8,0.948383161,0.294043541,0.317319527,0.354939251
401.9,0.943354541,0.293434592,0.316352524,0.353929296
402.0,0.938325921,0.292825642,0.315385521,0.35291934
402.1,0.9332973,0.292216692,0.314418518,0.351909384
402.2,0.92826868,0.291607743,0.313451515,0.350899429
402.3,0.923357357,0.291016272,0.312514282,0.349916613
402.4,0.922395771,0.291013372,0.312579517,0.349847665
402.5,0.921434185,0.291010472,0.312644751,0.349778718
402.6,0.9204726,0.291007573,0.312709985,0.34970977
402.7,0.919511014,0.291004673,0.31277522,0.349640823
402.8,0.918549428,0.291001773,0.312840454,0.349571876
402.9,0.917587843,0.290998873,0.312905688,0.349502928
403.0,0.916626257,0.290995974,0.312970923,0.349433981
403.1,0.915664671,0.290993074,0.313036157,0.349365034
403.2,0.915409999,0.291139676,0.313272925,0.349495189
403.3,0.919398215,0.29218359,0.314539238,0.350820356
403.4,0.923386431,0.293227504,0.315805552,0.352145523
403.5,0.927374647,0.294271417,0.317071865,0.353470689
403.6,0.931362863,0.295315331,0.318338179,0.354795856
403.7,0.935351079,0.296359245,0.319604492,0.356121023
403.8,0.939339295,0.297403159,0.320870806,0.35744619
403.9,0.943327511,0.298447072,0.322137119,0.358771357
404.0,0.947315727,0.299490986,0.323403433,0.360096524
404.1,0.951826134,0.300573621,0.324773212,0.361506678
404.2,0.957847867,0.301768322,0.326442444,0.363162803
404.3,0.9638696,0.302963023,0.328111675,0.364818928
404.4,0.969891334,0.304157725,0.329780906,0.366475053
404.5,0.975913067,0.305352426,0.331450138,0.368131178
404.6,0.9819348,0.306547127,0.333119369,0.369787303
404.7,0.987956533,0.307741828,0.3347886,0.371443428
404.8,0.993978267,0.30893653,0.336457832,0.373099552
404.9,1,0.310131231,0.338127063,0.374755677
405.0,0.999721183,0.31016586,0.338255455,0.374778278
405.1,0.988749648,0.30823172,0.335768876,0.372028609
405.2,0.977778113,0.306297579,0.333282297,0.369278941
405.3,0.966806578,0.304363439,0.330795718,0.366529273
405.4,0.955835043,0.302429299,0.328309139,0.363779605
405.5,0.944863508,0.300495159,0.32582256,0.361029937
405.6,0.933891973,0.298561019,0.32333598,0.358280269
405.7,0.922920438,0.296626879,0.320849401,0.3555306
405.8,0.911948903,0.294692738,0.318362822,0.352780932
405.9,0.906081784,0.293690537,0.317055553,0.351339773
406.0,0.905640401,0.293678937,0.317001831,0.351289491
406.1,0.905199017,0.293667338,0.316948108,0.351239209
406.2,0.904757634,0.293655739,0.316894386,0.351188928
406.3,0.90431625,0.29364414,0.316840664,0.351138646
406.4,0.903874866,0.293632541,0.316786941,0.351088365
406.5,0.903433483,0.293620942,0.316733219,0.351038083
406.6,0.902992099,0.293609343,0.316679496,0.350987801
406.7,0.902550716,0.293597744,0.316625774,0.35093752
406.8,0.904204572,0.293773648,0.316921267,0.351246806
406.9,0.90726273,0.294075223,0.317450816,0.351797087
407.0,0.910320888,0.294376798,0.317980366,0.352347367
407.1,0.913379045,0.294678374,0.318509915,0.352897648
407.2,0.916437203,0.294979949,0.319039464,0.353447929
407.3,0.919495361,0.295281524,0.319569013,0.353998209
407.4,0.922553519,0.295583099,0.320098563,0.35454849
407.5,0.925611676,0.295884674,0.320628112,0.355098771
407.6,0.928669834,0.296186249,0.321157661,0.355649051
407.7,0.929177716,0.296374159,0.321339887,0.35586578
407.8,0.928657514,0.296516247,0.321382098,0.355948045
407.9,0.928137312,0.296658335,0.321424308,0.35603031
408.0,0.92761711,0.296800423,0.321466518,0.356112575
408.1,0.927096908,0.296942512,0.321508729,0.356194839
408.2,0.926576706,0.2970846,0.321550939,0.356277104
408.3,0.926056504,0.297226688,0.32159315,0.356359369
408.4,0.925536302,0.297368776,0.32163536,0.356441634
408.5,0.9250161,0.297510865,0.321677571,0.356523899
408.6,0.923349137,0.297475564,0.32147235,0.356340749
408.7,0.921441729,0.29740307,0.32121525,0.356101948
408.8,0.919534322,0.297330576,0.32095815,0.355863147
408.9,0.917626914,0.297258082,0.32070105,0.355624346
409.0,0.915719506,0.297185588,0.32044395,0.355385545
409.1,0.913812099,0.297113094,0.32018685,0.355146744
409.2,0.911904691,0.2970406,0.31992975,0.354907943
409.3,0.909997283,0.296968106,0.31967265,0.354669142
409.4,0.908089876,0.296895612,0.31941555,0.354430341
409.5,0.906909042,0.296673098,0.319147622,0.354122507
409.6,0.905774056,0.296441117,0.31887901,0.353810317
409.7,0.904639069,0.296209136,0.318610398,0.353498127
409.8,0.903504083,0.295977155,0.318341786,0.353185937
409.9,0.902369097,0.295745175,0.318073174,0.352873747
410.0,0.90123411,0.295513194,0.317804562,0.352561557
410.1,0.900099124,0.295281213,0.31753595,0.352249366
410.2,0.898964138,0.295049232,0.317267338,0.351937176
410.3,0.897897172,0.29484782,0.317031633,0.351659508
410.4,0.898007518,0.295175493,0.317365479,0.351979349
410.5,0.898117864,0.295503166,0.317699325,0.35229919
410.6,0.89822821,0.295830839,0.318033171,0.352619031
410.7,0.898338555,0.296158511,0.318367018,0.352938872
410.8,0.898448901,0.296486184,0.318700864,0.353258713
410.9,0.898559247,0.296813857,0.31903471,0.353578554
411.0,0.898669593,0.29714153,0.319368557,0.353898395
411.1,0.898779939,0.297469203,0.319702403,0.354218236
411.2,0.898948754,0.297776343,0.32001684,0.354523281
411.3,0.899405902,0.297982226,0.320235567,0.354755362
411.4,0.899863049,0.298188109,0.320454294,0.354987443
411.5,0.900320196,0.298393992,0.320673021,0.355219524
411.6,0.900777343,0.298599875,0.320891748,0.355451604
411.7,0.901234491,0.298805758,0.321110475,0.355683685
411.8,0.901691638,0.299011641,0.321329202,0.355915766
