wavelength_nm,R,G,B,Gray
400.0,0.954429787,0.953359269,0.963044828,0.972064175
400.1,0.95650956,0.958945245,0.967383098,0.975907581
400.2,0.958589333,0.964531221,0.971721369,0.979750987
400.3,0.960669106,0.970117198,0.976059639,0.983594394
400.4,0.962748879,0.975703174,0.98039791,0.9874378
400.5,0.964828652,0.98128915,0.98473618,0.991281206
400.6,0.965203717,0.983823949,0.986910391,0.992770247
400.7,0.965154972,0.985600192,0.988546592,0.993673966
400.8,0.965106228,0.987376434,0.990182793,0.994577685
400.9,0.965057483,0.989152676,0.991818994,0.995481404
401.0,0.965008738,0.990928919,0.993455195,0.996385123
401.1,0.964959994,0.992705161,0.995091397,0.997288842
401.2,0.964911249,0.994481404,0.996727598,0.998192562
401.3,0.964862504,0.996257646,0.998363799,0.999096281
401.4,0.96481376,0.998033889,1,1
401.5,0.96224293,0.994912649,0.997111275,0.997115905
401.6,0.959437403,0.991335664,0.993801474,0.993879327
401.7,0.956631876,0.987758679,0.990491672,0.990642749
401.8,0.953826348,0.984181694,0.987181871,0.987406172
401.9,0.951020821,0.98060471,0.98387207,0.984169594
402.0,0.948215294,0.977027725,0.980562269,0.980933016
402.1,0.945409767,0.97345074,0.977252468,0.977696439
402.2,0.94260424,0.969873755,0.973942666,0.974459861
402.3,0.93978481,0.966179828,0.970581361,0.971161497
402.4,0.936497252,0.958548111,0.965485763,0.965782614
402.5,0.933209694,0.950916393,0.960390165,0.960403731
402.6,0.929922136,0.943284675,0.955294567,0.955024848
402.7,0.926634578,0.935652958,0.95019897,0.949645965
402.8,0.92334702,0.92802124,0.945103372,0.944267082
402.9,0.920059463,0.920389523,0.940007774,0.938888198
403.0,0.916771905,0.912757805,0.934912176,0.933509315
403.1,0.913484347,0.905126087,0.929816578,0.928130432
403.2,0.910332152,0.898300886,0.925093527,0.923198778
403.3,0.907992407,0.896316395,0.922606501,0.920951388
403.4,0.905652663,0.894331903,0.920119476,0.918703999
403.5,0.903312918,0.892347412,0.91763245,0.916456609
403.6,0.900973173,0.89036292,0.915145424,0.91420922
403.7,0.898633429,0.888378428,0.912658398,0.91196183
403.8,0.896293684,0.886393937,0.910171372,0.909714441
403.9,0.893953939,0.884409445,0.907684347,0.907467051
404.0,0.891614194,0.882424954,0.905197321,0.905219662
404.1,0.889900312,0.880994103,0.903536216,0.90360037
404.2,0.889997801,0.881165602,0.904265494,0.903798921
404.3,0.89009529,0.881337102,0.904994773,0.903997472
404.4,0.89019278,0.881508601,0.905724051,0.904196023
404.5,0.890290269,0.8816801,0.906453329,0.904394574
404.6,0.890387759,0.8818516,0.907182607,0.904593125
404.7,0.890485248,0.882023099,0.907911885,0.904791676
404.8,0.890582737,0.882194598,0.908641164,0.904990227
404.9,0.890680227,0.882366097,0.909370442,0.905188778
405.0,0.892046838,0.88387291,0.910564241,0.906620665
405.1,0.895567287,0.887645894,0.912546382,0.910145659
405.2,0.899087736,0.891418878,0.914528522,0.913670653
405.3,0.902608186,0.895191862,0.916510663,0.917195647
405.4,0.906128635,0.898964846,0.918492804,0.920720641
405.5,0.909649084,0.90273783,0.920474945,0.924245634
405.6,0.913169533,0.906510814,0.922457086,0.927770628
405.7,0.916689982,0.910283798,0.924439227,0.931295622
405.8,0.920210432,0.914056782,0.926421367,0.934820616
405.9,0.92154917,0.915365464,0.926993991,0.93608825
406.0,0.92056886,0.91405472,0.926068368,0.934956425
406.1,0.91958855,0.912743975,0.925142746,0.9338246
406.2,0.918608241,0.911433231,0.924217124,0.932692775
406.3,0.917627931,0.910122487,0.923291501,0.93156095
406.4,0.916647621,0.908811742,0.922365879,0.930429125
406.5,0.915667311,0.907500998,0.921440256,0.9292973
406.6,0.914687002,0.906190253,0.920514634,0.928165475
406.7,0.913706692,0.904879509,0.919589012,0.92703365
406.8,0.913261429,0.903546762,0.918954478,0.926184597
406.9,0.913174771,0.902199267,0.918515041,0.925525067
407.0,0.913088114,0.900851773,0.918075604,0.924865538
407.1,0.913001457,0.899504279,0.917636167,0.924206009
407.2,0.9129148,0.898156784,0.91719673,0.923546479
407.3,0.912828143,0.89680929,0.916757293,0.92288695
407.4,0.912741485,0.895461796,0.916317856,0.92222742
407.5,0.912654828,0.894114302,0.915878419,0.921567891
407.6,0.912568171,0.892766807,0.915438982,0.920908361
407.7,0.912037613,0.892143942,0.915386028,0.920380624
407.8,0.911328107,0.891813193,0.915488875,0.919906016
407.9,0.910618601,0.891482444,0.915591722,0.919431407
408.0,0.909909095,0.891151696,0.915694569,0.918956799
408.1,0.90919959,0.890820947,0.915797416,0.918482191
408.2,0.908490084,0.890490199,0.915900263,0.918007582
408.3,0.907780578,0.89015945,0.91600311,0.917532974
408.4,0.907071072,0.889828701,0.916105956,0.917058365
