wavelength_nm,R,G,B,Gray
400.0,0.928825638,0.735440086,0.73761813,0.866943581
400.1,0.929078434,0.73544856,0.737894631,0.86709119
400.2,0.929331231,0.735457035,0.738171133,0.867238798
400.3,0.929584027,0.735465509,0.738447635,0.867386406
400.4,0.929836823,0.735473983,0.738724136,0.867534014
400.5,0.930089619,0.735482458,0.739000638,0.867681622
400.6,0.93074284,0.735999957,0.740068023,0.868374823
400.7,0.931495611,0.736644004,0.74133203,0.869203663
400.8,0.932248382,0.737288052,0.742596038,0.870032504
400.9,0.933001153,0.7379321,0.743860046,0.870861345
401.0,0.933753924,0.738576148,0.745124053,0.871690185
401.1,0.934506694,0.739220196,0.746388061,0.872519026
401.2,0.935259465,0.739864244,0.747652068,0.873347866
401.3,0.936012236,0.740508292,0.748916076,0.874176707
401.4,0.936765007,0.74115234,0.750180083,0.875005548
401.5,0.936988416,0.740935821,0.751118854,0.875124808
401.6,0.937162565,0.74063922,0.752027359,0.875178036
401.7,0.937336713,0.740342619,0.752935865,0.875231265
401.8,0.937510862,0.740046018,0.75384437,0.875284494
401.9,0.93768501,0.739749417,0.754752876,0.875337722
402.0,0.937859159,0.739452816,0.755661381,0.875390951
402.1,0.938033307,0.739156215,0.756569887,0.875444179
402.2,0.938207456,0.738859614,0.757478392,0.875497408
402.3,0.938352765,0.738524885,0.758364438,0.87551582
402.4,0.937526964,0.736906291,0.758494225,0.874361847
402.5,0.936701163,0.735287697,0.758624011,0.873207874
402.6,0.935875362,0.733669103,0.758753798,0.872053902
402.7,0.935049561,0.732050508,0.758883584,0.870899929
402.8,0.93422376,0.730431914,0.759013371,0.869745956
402.9,0.93339796,0.72881332,0.759143157,0.868591984
403.0,0.932572159,0.727194726,0.759272944,0.867438011
403.1,0.931746358,0.725576131,0.75940273,0.866284039
403.2,0.931017635,0.724130606,0.759670325,0.865280014
403.3,0.930871575,0.723723839,0.760765046,0.865175979
403.4,0.930725515,0.723317072,0.761859767,0.865071943
403.5,0.930579455,0.722910305,0.762954488,0.864967907
403.6,0.930433395,0.722503537,0.764049208,0.864863872
403.7,0.930287335,0.72209677,0.765143929,0.864759836
403.8,0.930141275,0.721690003,0.76623865,0.8646558
403.9,0.929995215,0.721283236,0.767333371,0.864551765
404.0,0.929849155,0.720876469,0.768428092,0.864447729
404.1,0.9299743,0.720931042,0.769569182,0.864699612
404.2,0.930884366,0.72232083,0.770844475,0.865981595
