wavelength_nm,R,G,B,Gray
400.0,0.999398739,0.78013466,0.748351722,0.932120529
400.1,0.999518991,0.780420753,0.748494643,0.93234204
400.2,0.999639243,0.780706847,0.748637564,0.93256355
400.3,0.999759495,0.780992941,0.748780484,0.932785061
400.4,0.999879748,0.781279035,0.748923405,0.933006571
400.5,1,0.781565128,0.749066326,0.933228081
400.6,0.998602242,0.77902529,0.74825233,0.931198074
400.7,0.996827089,0.775782894,0.747200434,0.928608314
400.8,0.995051936,0.772540498,0.746148537,0.926018555
400.9,0.993276783,0.769298102,0.745096641,0.923428795
401.0,0.991501631,0.766055706,0.744044745,0.920839035
401.1,0.989726478,0.76281331,0.742992849,0.918249275
401.2,0.987951325,0.759570914,0.741940953,0.915659516
401.3,0.986176172,0.756328518,0.740889057,0.913069756
401.4,0.984401019,0.753086122,0.739837161,0.910479996
401.5,0.982746359,0.751057235,0.739303047,0.908657997
401.6,0.981102911,0.749141274,0.738817117,0.906907443
401.7,0.979459463,0.747225312,0.738331187,0.905156889
401.8,0.977816015,0.745309351,0.737845256,0.903406335
401.9,0.976172567,0.74339339,0.737359326,0.901655781
402.0,0.97452912,0.741477428,0.736873396,0.899905227
402.1,0.972885672,0.739561467,0.736387465,0.898154673
402.2,0.971242224,0.737645506,0.735901535,0.896404119
402.3,0.969641055,0.735793054,0.735485513,0.89471498
402.4,0.969463539,0.736079148,0.737423518,0.895093864
402.5,0.969286024,0.736365241,0.739361522,0.895472748
402.6,0.969108509,0.736651335,0.741299526,0.895851632
402.7,0.968930994,0.736937429,0.743237531,0.896230515
402.8,0.968753478,0.737223523,0.745175535,0.896609399
402.9,0.968575963,0.737509616,0.747113539,0.896988283
403.0,0.968398448,0.73779571,0.749051543,0.897367167
403.1,0.968220933,0.738081804,0.750989548,0.897746051
403.2,0.967951005,0.738220558,0.752735685,0.897980156
403.3,0.967126418,0.73747498,0.753330235,0.897345299
403.4,0.966301831,0.736729403,0.753924785,0.896710443
403.5,0.965477244,0.735983825,0.754519335,0.896075586
403.6,0.964652656,0.735238247,0.755113885,0.895440729
403.7,0.963828069,0.73449267,0.755708435,0.894805873
403.8,0.963003482,0.733747092,0.756302985,0.894171016
403.9,0.962178895,0.733001514,0.756897535,0.89353616
404.0,0.961354308,0.732255936,0.757492085,0.892901303
404.1,0.960112108,0.730731168,0.757602183,0.891611831
404.2,0.957661252,0.726951262,0.75631018,0.888427771
404.3,0.955210396,0.723171357,0.755018177,0.885243711
404.4,0.95275954,0.719391451,0.753726174,0.88205965
404.5,0.950308684,0.715611546,0.752434172,0.87887559
404.6,0.947857828,0.71183164,0.751142169,0.875691529
404.7,0.945406972,0.708051734,0.749850166,0.872507469
404.8,0.942956116,0.704271829,0.748558163,0.869323408
404.9,0.94050526,0.700491923,0.74726616,0.866139348
405.0,0.940279439,0.699216013,0.747347667,0.865388886
405.1,0.943829744,0.702189654,0.749760168,0.868768505
405.2,0.94738005,0.705163295,0.752172668,0.872148124
405.3,0.950930355,0.708136937,0.754585169,0.875527743
405.4,0.954480661,0.711110578,0.75699767,0.878907363
405.5,0.958030967,0.714084219,0.759410171,0.882286982
405.6,0.961581272,0.717057861,0.761822672,0.885666601
405.7,0.965131578,0.720031502,0.764235173,0.88904622
405.8,0.968681883,0.723005143,0.766647674,0.892425839
405.9,0.970955328,0.725268565,0.768788598,0.894871423
406.0,0.971871536,0.72677706,0.77064085,0.896324173
406.1,0.972787744,0.728285554,0.772493102,0.897776924
406.2,0.973703952,0.729794048,0.774345354,0.899229675
406.3,0.97462016,0.731302543,0.776197606,0.900682425
406.4,0.975536368,0.732811037,0.778049858,0.902135176
406.5,0.976452576,0.734319532,0.77990211,0.903587927
406.6,0.977368783,0.735828026,0.781754361,0.905040678
406.7,0.978284991,0.737336521,0.783606613,0.906493428
406.8,0.978745217,0.739286216,0.785688191,0.908028852
406.9,0.978899827,0.741531618,0.78792347,0.909619685
407.0,0.979054437,0.743777021,0.790158749,0.911210518
407.1,0.979209047,0.746022423,0.792394029,0.912801352
407.2,0.979363657,0.748267826,0.794629308,0.914392185
407.3,0.979518267,0.750513229,0.796864587,0.915983018
407.4,0.979672877,0.752758631,0.799099867,0.917573851
407.5,0.979827487,0.755004034,0.801335146,0.919164685
407.6,0.979982097,0.757249437,0.803570425,0.920755518
407.7,0.980177518,0.758234383,0.805536797,0.92165792
407.8,0.980389391,0.758711206,0.807394766,0.922282797
407.9,0.980601264,0.759188029,0.809252735,0.922907674
408.0,0.980813137,0.759664852,0.811110704,0.923532551
408.1,0.981025011,0.760141675,0.812968672,0.924157428
408.2,0.981236884,0.760618498,0.814826641,0.924782305
408.3,0.981448757,0.761095321,0.81668461,0.925407182
408.4,0.98166063,0.761572144,0.818542578,0.926032059
408.5,0.981872503,0.762048967,0.820400547,0.926656936
408.6,0.98164887,0.763357141,0.822428649,0.927568938
408.7,0.981333924,0.764839626,0.824492424,0.928541144
408.8,0.981018977,0.766322112,0.826556198,0.929513349
408.9,0.980704031,0.767804598,0.828619973,0.930485554
409.0,0.980389084,0.769287084,0.830683747,0.93145776
409.1,0.980074138,0.77076957,0.832747522,0.932429965
409.2,0.979759192,0.772252056,0.834811296,0.93340217
409.3,0.979444245,0.773734542,0.836875071,0.934374375
409.4,0.979129299,0.775217028,0.838938845,0.935346581
409.5,0.979094446,0.776552725,0.840722989,0.93631187
409.6,0.979077267,0.77787916,0.842489489,0.937276722
