source,image_path,profile_csv,roi_crop,diagnostic_png,profile_png,calibration_model,calibration_formula,status,comment,roi_x,roi_y,roi_w,roi_h,wavelength_start_nm,wavelength_end_nm,wavelength_step_nm,point_count,normalization,overexposed,underexposed,tilt_warning,bright_signal_touches_roi_edge,roi_touches_image_edge
blue_led,data/raw/calibration/blue_led/blue_led_001_full.png,data/processed/relative_calibration_profiles_v1/blue_led/blue_led_001_full/profile.csv,,,,relative_spectral_coordinate_linear_diagnostic_v1,wavelength_nm = 223.039214714 * s + 411.1831404,success,"current diagnostic calibration model; not final calibration; risk: Hg partial line error remains relatively large; risk: current reference captures include dim/tilted/edge-background warnings; sample risk: overexposed, ROI touches image edge, tilt warning; reasonable: dominant=R, gray_peak=436.8 nm; 400nm edge has high normalized intensity (0.66); inspect for edge/background dominance",0,0,915,1080,400.0,650.0,0.1,2501,per-sample per-channel x/max(x),true,false,true,false,true
dark,data/raw/calibration/dark/dark_001_full.png,data/processed/relative_calibration_profiles_v1/dark/dark_001_full/profile.csv,,,,relative_spectral_coordinate_linear_diagnostic_v1,wavelength_nm = 223.039214714 * s + 411.1831404,success,"current diagnostic calibration model; not final calibration; risk: Hg partial line error remains relatively large; risk: current reference captures include dim/tilted/edge-background warnings; sample risk: dim/underexposed, bright signal touches ROI edge, ROI touches image edge; dark source: raw gray_p99=16.18; 400nm edge has high normalized intensity (0.95); inspect for edge/background dominance; 650nm edge has high normalized intensity (0.93); inspect for edge/background dominance",0,0,915,1080,400.0,650.0,0.1,2501,per-sample per-channel x/max(x),false,true,false,true,true
green_led,data/raw/calibration/green_led/green_led_001_full.png,data/processed/relative_calibration_profiles_v1/green_led/green_led_001_full/profile.csv,,,,relative_spectral_coordinate_linear_diagnostic_v1,wavelength_nm = 223.039214714 * s + 411.1831404,success,"current diagnostic calibration model; not final calibration; risk: Hg partial line error remains relatively large; risk: current reference captures include dim/tilted/edge-background warnings; sample risk: ROI touches image edge, tilt warning; reasonable: dominant=R, gray_peak=525.6 nm; 400nm edge has high normalized intensity (0.98); inspect for edge/background dominance; 650nm edge has high normalized intensity (0.83); inspect for edge/background dominance",0,0,915,1080,400.0,650.0,0.1,2501,per-sample per-channel x/max(x),false,false,true,false,true
hene,data/raw/calibration/hene/hene_001_full.png,data/processed/relative_calibration_profiles_v1/hene/hene_001_full/profile.csv,,,,relative_spectral_coordinate_linear_diagnostic_v1,wavelength_nm = 223.039214714 * s + 411.1831404,success,"current diagnostic calibration model; not final calibration; risk: Hg partial line error remains relatively large; risk: current reference captures include dim/tilted/edge-background warnings; sample risk: dim/underexposed, ROI touches image edge, tilt warning; roughly aligned: 631.6nm->632.4nm (R, delta=+0.8); 400nm edge has high normalized intensity (1.00); inspect for edge/background dominance; 650nm edge has high normalized intensity (0.95); inspect for edge/background dominance",0,0,915,1080,400.0,650.0,0.1,2501,per-sample per-channel x/max(x),false,true,true,false,true
hg,data/raw/calibration/hg/hg_001_001_full.png,data/processed/relative_calibration_profiles_v1/hg/hg_001_001_full/profile.csv,,,,relative_spectral_coordinate_linear_diagnostic_v1,wavelength_nm = 223.039214714 * s + 411.1831404,success,"current diagnostic calibration model; not final calibration; risk: Hg partial line error remains relatively large; risk: current reference captures include dim/tilted/edge-background warnings; sample risk: dim/underexposed, ROI touches image edge, tilt warning; roughly aligned: 404.8nm->408.8nm (Gray, delta=+4.0); 435.9nm->436.1nm (B, delta=+0.2); 546.0nm->550.4nm (R, delta=+4.4); 576.8nm->569.3nm (G, delta=-7.5); 408.0nm->408.8nm (Gray, delta=+0.8); 400nm edge has high normalized intensity (0.94); inspect for edge/background dominance; 650nm edge has high normalized intensity (0.94); inspect for edge/background dominance",0,0,915,1080,400.0,650.0,0.1,2501,per-sample per-channel x/max(x),false,true,true,false,true
hg,data/raw/calibration/hg/hg_001_full.png,data/processed/relative_calibration_profiles_v1/hg/hg_001_full/profile.csv,,,,relative_spectral_coordinate_linear_diagnostic_v1,wavelength_nm = 223.039214714 * s + 411.1831404,success,"current diagnostic calibration model; not final calibration; risk: Hg partial line error remains relatively large; risk: current reference captures include dim/tilted/edge-background warnings; sample risk: dim/underexposed, ROI touches image edge, tilt warning; roughly aligned: 404.8nm->400.2nm (R, delta=-4.6); 435.9nm->429.8nm (B, delta=-6.1); 546.0nm->529.6nm (G, delta=-16.4); 576.8nm->571.3nm (G, delta=-5.5); 408.0nm->411.1nm (B, delta=+3.1); 400nm edge has high normalized intensity (1.00); inspect for edge/background dominance; 650nm edge has high normalized intensity (0.93); inspect for edge/background dominance",0,0,915,1080,400.0,650.0,0.1,2501,per-sample per-channel x/max(x),false,true,true,false,true
na,data/raw/calibration/na/na_001_001_full.png,data/processed/relative_calibration_profiles_v1/na/na_001_001_full/profile.csv,,,,relative_spectral_coordinate_linear_diagnostic_v1,wavelength_nm = 223.039214714 * s + 411.1831404,success,"current diagnostic calibration model; not final calibration; risk: Hg partial line error remains relatively large; risk: current reference captures include dim/tilted/edge-background warnings; sample risk: ROI touches image edge, tilt warning; roughly aligned: 589.5nm->589.7nm (B, delta=+0.2); 568.7nm->568.3nm (R, delta=-0.4); 569.1nm->568.3nm (R, delta=-0.8); 568.2nm->568.3nm (R, delta=+0.1); 584.0nm->583.0nm (Gray, delta=-1.0); 400nm edge has high normalized intensity (0.92); inspect for edge/background dominance; 650nm edge has high normalized intensity (0.91); inspect for edge/background dominance",0,0,915,1080,400.0,650.0,0.1,2501,per-sample per-channel x/max(x),false,false,true,false,true
na,data/raw/calibration/na/na_001_full.png,data/processed/relative_calibration_profiles_v1/na/na_001_full/profile.csv,,,,relative_spectral_coordinate_linear_diagnostic_v1,wavelength_nm = 223.039214714 * s + 411.1831404,success,"current diagnostic calibration model; not final calibration; risk: Hg partial line error remains relatively large; risk: current reference captures include dim/tilted/edge-background warnings; sample risk: ROI touches image edge, tilt warning; roughly aligned: 589.5nm->592.5nm (B, delta=+3.0); 568.7nm->561.1nm (R, delta=-7.6); 569.1nm->561.1nm (R, delta=-8.0); 568.2nm->561.1nm (R, delta=-7.1); 584.0nm->583.9nm (B, delta=-0.1); 400nm edge has high normalized intensity (0.93); inspect for edge/background dominance; 650nm edge has high normalized intensity (0.86); inspect for edge/background dominance",0,0,915,1080,400.0,650.0,0.1,2501,per-sample per-channel x/max(x),false,false,true,false,true
purple_led,data/raw/calibration/purple_led/purple_led_001_full.png,data/processed/relative_calibration_profiles_v1/purple_led/purple_led_001_full/profile.csv,,,,relative_spectral_coordinate_linear_diagnostic_v1,wavelength_nm = 223.039214714 * s + 411.1831404,success,"current diagnostic calibration model; not final calibration; risk: Hg partial line error remains relatively large; risk: current reference captures include dim/tilted/edge-background warnings; sample risk: dim/underexposed, ROI touches image edge, tilt warning; reasonable: dominant=G, Bmax=1.00, Rmax=1.00, gray_peak=422.2 nm; 400nm edge has high normalized intensity (0.99); inspect for edge/background dominance; 650nm edge has high normalized intensity (0.92); inspect for edge/background dominance",0,0,915,1080,400.0,650.0,0.1,2501,per-sample per-channel x/max(x),false,true,true,false,true
red_led,data/raw/calibration/red_led/red_led_001_full.png,data/processed/relative_calibration_profiles_v1/red_led/red_led_001_full/profile.csv,,,,relative_spectral_coordinate_linear_diagnostic_v1,wavelength_nm = 223.039214714 * s + 411.1831404,success,"current diagnostic calibration model; not final calibration; risk: Hg partial line error remains relatively large; risk: current reference captures include dim/tilted/edge-background warnings; sample risk: overexposed, ROI touches image edge, tilt warning; reasonable: dominant=B, gray_peak=629.2 nm; 650nm edge has high normalized intensity (0.99); inspect for edge/background dominance",0,0,915,1080,400.0,650.0,0.1,2501,per-sample per-channel x/max(x),true,false,true,false,true
