wavelength_nm,R,G,B,Gray
400.0,0.380140558,0.392805073,0.888536232,0.408683524
400.1,0.380292091,0.393434787,0.890851537,0.409136301
400.2,0.380443624,0.394064501,0.893166841,0.409589079
400.3,0.380595157,0.394694215,0.895482146,0.410041857
400.4,0.38074669,0.395323929,0.897797451,0.410494634
400.5,0.380898223,0.395953643,0.900112756,0.410947412
400.6,0.381015847,0.396360611,0.901829626,0.411259693
400.7,0.38112504,0.396712201,0.903397719,0.411537046
400.8,0.381234233,0.397063791,0.904965812,0.411814398
400.9,0.381343426,0.397415382,0.906533904,0.41209175
401.0,0.381452619,0.397766972,0.908101997,0.412369103
401.1,0.381561811,0.398118562,0.90967009,0.412646455
401.2,0.381671004,0.398470153,0.911238183,0.412923807
401.3,0.381780197,0.398821743,0.912806276,0.41320116
401.4,0.38188939,0.399173333,0.914374369,0.413478512
401.5,0.381904803,0.399620941,0.91558622,0.413733582
401.6,0.381911488,0.400077483,0.916764921,0.413986578
401.7,0.381918173,0.400534026,0.917943621,0.414239574
401.8,0.381924858,0.400990569,0.919122322,0.41449257
401.9,0.381931544,0.401447111,0.920301022,0.414745566
402.0,0.381938229,0.401903654,0.921479723,0.414998563
402.1,0.381944914,0.402360197,0.922658424,0.415251559
402.2,0.3819516,0.402816739,0.923837124,0.415504555
402.3,0.381962719,0.403269498,0.925046481,0.41575952
402.4,0.382123166,0.40359485,0.927288117,0.416080793
402.5,0.382283613,0.403920203,0.929529753,0.416402067
402.6,0.38244406,0.404245555,0.931771389,0.41672334
402.7,0.382604507,0.404570907,0.934013025,0.417044613
402.8,0.382764953,0.404896259,0.936254661,0.417365886
402.9,0.3829254,0.405221611,0.938496297,0.417687159
403.0,0.383085847,0.405546964,0.940737933,0.418008432
403.1,0.383246294,0.405872316,0.942979569,0.418329706
403.2,0.383435702,0.406339313,0.945197157,0.418727072
403.3,0.383798935,0.407656465,0.947270407,0.419581148
403.4,0.384162169,0.408973617,0.949343657,0.420435224
403.5,0.384525403,0.410290769,0.951416908,0.4212893
403.6,0.384888636,0.41160792,0.953490158,0.422143376
403.7,0.38525187,0.412925072,0.955563408,0.422997452
403.8,0.385615104,0.414242224,0.957636658,0.423851528
403.9,0.385978337,0.415559375,0.959709908,0.424705604
404.0,0.386341571,0.416876527,0.961783159,0.42555968
404.1,0.386701371,0.4180724,0.963932079,0.426362139
404.2,0.387051234,0.418917266,0.966300004,0.427015206
404.3,0.387401097,0.419762132,0.96866793,0.427668273
404.4,0.387750961,0.420606999,0.971035855,0.42832134
404.5,0.388100824,0.421451865,0.973403781,0.428974408
404.6,0.388450687,0.422296731,0.975771706,0.429627475
404.7,0.38880055,0.423141597,0.978139631,0.430280542
404.8,0.389150413,0.423986464,0.980507557,0.43093361
404.9,0.389500276,0.42483133,0.982875482,0.431586677
405.0,0.389225511,0.425232589,0.981977435,0.431579995
405.1,0.387890683,0.424880999,0.975536678,0.430453647
405.2,0.386555855,0.424529408,0.969095921,0.4293273
405.3,0.385221027,0.424177818,0.962655164,0.428200952
405.4,0.383886199,0.423826228,0.956214407,0.427074605
405.5,0.38255137,0.423474637,0.94977365,0.425948257
405.6,0.381216542,0.423123047,0.943332893,0.424821909
405.7,0.379881714,0.422771457,0.936892136,0.423695562
405.8,0.378546886,0.422419866,0.930451379,0.422569214
405.9,0.377799695,0.421849514,0.926326698,0.421753431
406.0,0.377677132,0.421046629,0.924663888,0.421267761
406.1,0.377554568,0.420243743,0.923001078,0.420782092
406.2,0.377432004,0.419440858,0.921338268,0.420296422
406.3,0.377309441,0.418637973,0.919675459,0.419810753
406.4,0.377186877,0.417835088,0.918012649,0.419325083
406.5,0.377064314,0.417032202,0.916349839,0.418839414
406.6,0.37694175,0.416229317,0.914687029,0.418353744
406.7,0.376819187,0.415426432,0.913024219,0.417868075
406.8,0.377163594,0.41474922,0.912627907,0.417735839
406.9,0.37782098,0.414156239,0.913080443,0.417840486
407.0,0.378478366,0.413563259,0.91353298,0.417945133
407.1,0.379135752,0.412970278,0.913985517,0.41804978
407.2,0.379793138,0.412377297,0.914438054,0.418154427
407.3,0.380450524,0.411784317,0.914890591,0.418259074
407.4,0.38110791,0.411191336,0.915343128,0.418363721
407.5,0.381765296,0.410598355,0.915795665,0.418468369
407.6,0.382422682,0.410005375,0.916248201,0.418573016
407.7,0.383011776,0.409820048,0.917488288,0.418853409
407.8,0.38357334,0.409799058,0.919045856,0.419204651
407.9,0.384134904,0.409778067,0.920603425,0.419555892
408.0,0.384696468,0.409757077,0.922160994,0.419907134
408.1,0.385258031,0.409736086,0.923718563,0.420258375
408.2,0.385819595,0.409715096,0.925276131,0.420609617
408.3,0.386381159,0.409694105,0.9268337,0.420960858
408.4,0.386942722,0.409673115,0.928391269,0.4213121
408.5,0.387504286,0.409652124,0.929948837,0.421663342
408.6,0.388200329,0.409427246,0.931027908,0.42197571
408.7,0.388924567,0.409159617,0.932006651,0.422279927
408.8,0.389648806,0.408891989,0.932985393,0.422584145
408.9,0.390373045,0.408624361,0.933964136,0.422888363
409.0,0.391097284,0.408356732,0.934942878,0.42319258
409.1,0.391821523,0.408089104,0.93592162,0.423496798
409.2,0.392545762,0.407821475,0.936900363,0.423801015
409.3,0.393270001,0.407553847,0.937879105,0.424105233
409.4,0.39399424,0.407286218,0.938857848,0.424409451
409.5,0.393995304,0.406154765,0.937866599,0.423873398
409.6,0.393950735,0.404968803,0.936751043,0.423284324
409.7,0.393906167,0.403782842,0.935635487,0.422695251
409.8,0.393861598,0.402596881,0.934519931,0.422106177
