wavelength_nm,R,G,B,Gray
400.0,0.370608979,0.396281549,0.92993369,0.410873823
400.1,0.370531731,0.394954339,0.927969744,0.410166307
400.2,0.370454483,0.393627129,0.926005799,0.409458791
400.3,0.370377234,0.392299919,0.924041853,0.408751274
400.4,0.370299986,0.390972709,0.922077908,0.408043758
400.5,0.370222738,0.389645499,0.920113962,0.407336242
400.6,0.370267405,0.389316424,0.919768119,0.407200671
400.7,0.370342381,0.389235497,0.919824555,0.407207291
400.8,0.370417357,0.38915457,0.91988099,0.407213912
400.9,0.370492333,0.389073642,0.919937425,0.407220533
401.0,0.37056731,0.388992715,0.91999386,0.407227153
401.1,0.370642286,0.388911787,0.920050296,0.407233774
401.2,0.370717262,0.38883086,0.920106731,0.407240395
401.3,0.370792238,0.388749932,0.920163166,0.407247015
401.4,0.370867214,0.388669005,0.920219601,0.407253636
401.5,0.371619807,0.389506145,0.922671697,0.408125397
401.6,0.372435457,0.390428718,0.925346726,0.409077667
401.7,0.373251106,0.391351291,0.928021756,0.410029936
401.8,0.374066756,0.392273863,0.930696785,0.410982205
401.9,0.374882406,0.393196436,0.933371814,0.411934474
402.0,0.375698056,0.394119009,0.936046843,0.412886743
402.1,0.376513705,0.395041582,0.938721872,0.413839012
402.2,0.377329355,0.395964155,0.941396901,0.414791281
402.3,0.378144481,0.396887661,0.944067373,0.415743496
402.4,0.378941954,0.397842605,0.946584383,0.416693874
402.5,0.379739428,0.398797549,0.949101394,0.417644253
402.6,0.380536902,0.399752492,0.951618404,0.418594631
402.7,0.381334375,0.400707436,0.954135415,0.41954501
402.8,0.382131849,0.40166238,0.956652426,0.420495389
402.9,0.382929323,0.402617324,0.959169436,0.421445767
403.0,0.383726797,0.403572267,0.961686447,0.422396146
403.1,0.38452427,0.404527211,0.964203457,0.423346525
403.2,0.38527729,0.405449023,0.966586674,0.424253064
403.3,0.385763499,0.406171974,0.96816686,0.424896484
403.4,0.386249708,0.406894926,0.969747046,0.425539903
403.5,0.386735917,0.407617878,0.971327232,0.426183322
403.6,0.387222126,0.40834083,0.972907418,0.426826742
403.7,0.387708335,0.409063782,0.974487604,0.427470161
403.8,0.388194545,0.409786733,0.97606779,0.42811358
403.9,0.388680754,0.410509685,0.977647976,0.428757
404.0,0.389166963,0.411232637,0.979228162,0.429400419
404.1,0.389600663,0.41192788,0.980727192,0.43000025
404.2,0.389882391,0.412542928,0.981991341,0.430473926
404.3,0.39016412,0.413157977,0.983255489,0.430947602
404.4,0.390445849,0.413773026,0.984519638,0.431421278
404.5,0.390727577,0.414388074,0.985783787,0.431894954
404.6,0.391009306,0.415003123,0.987047936,0.432368631
404.7,0.391291034,0.415618171,0.988312084,0.432842307
404.8,0.391572763,0.41623322,0.989576233,0.433315983
404.9,0.391854492,0.416848268,0.990840382,0.433789659
405.0,0.391375546,0.416145086,0.989380182,0.43316376
405.1,0.389605654,0.413204722,0.983296466,0.430671761
405.2,0.387835763,0.410264359,0.97721275,0.428179763
405.3,0.386065871,0.407323995,0.971129034,0.425687764
405.4,0.384295979,0.404383631,0.965045318,0.423195766
405.5,0.382526087,0.401443268,0.958961602,0.420703767
405.6,0.380756195,0.398502904,0.952877886,0.418211769
405.7,0.378986304,0.395562541,0.94679417,0.41571977
405.8,0.377216412,0.392622177,0.940710454,0.413227772
405.9,0.376163491,0.390699152,0.936383029,0.411639544
406.0,0.375872675,0.389857507,0.933922454,0.411011978
406.1,0.375581858,0.389015862,0.931461879,0.410384413
406.2,0.375291041,0.388174216,0.929001304,0.409756847
406.3,0.375000225,0.387332571,0.926540728,0.409129282
406.4,0.374709408,0.386490926,0.924080153,0.408501716
406.5,0.374418592,0.38564928,0.921619578,0.407874151
406.6,0.374127775,0.384807635,0.919159002,0.407246585
406.7,0.373836958,0.38396599,0.916698427,0.40661902
406.8,0.373834523,0.38357011,0.915846199,0.406408067
406.9,0.374025372,0.383472997,0.91607194,0.406476343
407.0,0.37421622,0.383375884,0.91629768,0.406544618
407.1,0.374407069,0.383278771,0.916523421,0.406612893
407.2,0.374597917,0.383181658,0.916749162,0.406681169
407.3,0.374788766,0.383084545,0.916974903,0.406749444
407.4,0.374979614,0.382987432,0.917200644,0.406817719
407.5,0.375170462,0.382890319,0.917426385,0.406885995
407.6,0.375361311,0.382793206,0.917652126,0.40695427
407.7,0.375961828,0.383599692,0.919494752,0.407706339
407.8,0.376727494,0.384770442,0.921989189,0.408734064
407.9,0.377493159,0.385941192,0.924483625,0.409761789
408.0,0.378258825,0.387111942,0.926978061,0.410789514
408.1,0.37902449,0.388282693,0.929472498,0.411817239
408.2,0.379790156,0.389453443,0.931966934,0.412844964
408.3,0.380555822,0.390624193,0.934461371,0.413872689
408.4,0.381321487,0.391794944,0.936955807,0.414900414
408.5,0.382087153,0.392965694,0.939450244,0.415928139
408.6,0.382971145,0.394622586,0.943073689,0.417279869
408.7,0.383879947,0.396381409,0.946933858,0.418699534
408.8,0.384788749,0.398140232,0.950794026,0.4201192
408.9,0.385697551,0.399899055,0.954654195,0.421538865
409.0,0.386606353,0.401657878,0.958514364,0.42295853
409.1,0.387515155,0.403416701,0.962374532,0.424378196
409.2,0.388423957,0.405175524,0.966234701,0.425797861
409.3,0.389332759,0.406934347,0.970094869,0.427217526
409.4,0.390241561,0.40869317,0.973955038,0.428637192
409.5,0.390545549,0.409066536,0.97487427,0.429001946
409.6,0.390811374,0.40935248,0.975607928,0.429300134
409.7,0.391077198,0.409638423,0.976341585,0.429598323
409.8,0.391343023,0.409924367,0.977075243,0.429896511
409.9,0.391608847,0.41021031,0.977808901,0.4301947
410.0,0.391874672,0.410496254,0.978542559,0.430492888
410.1,0.392140496,0.410782198,0.979276217,0.430791077
410.2,0.392406321,0.411068141,0.980009874,0.431089265
410.3,0.392621638,0.411247114,0.980488916,0.431302841
410.4,0.391962756,0.409574613,0.976561025,0.430051929
410.5,0.391303875,0.407902113,0.972633134,0.428801017
410.6,0.390644993,0.406229613,0.968705243,0.427550105
410.7,0.389986112,0.404557112,0.964777353,0.426299193
410.8,0.389327231,0.402884612,0.960849462,0.425048281
410.9,0.388668349,0.401212111,0.956921571,0.423797369
411.0,0.388009468,0.399539611,0.95299368,0.422546457
411.1,0.387350586,0.397867111,0.949065789,0.421295545
411.2,0.386648037,0.396136396,0.945075101,0.419993052
411.3,0.385730147,0.394118605,0.940774738,0.418436195
411.4,0.384812257,0.392100814,0.936474374,0.416879338
411.5,0.383894367,0.390083023,0.932174011,0.415322481
411.6,0.382976477,0.388065233,0.927873648,0.413765624
411.7,0.382058587,0.386047442,0.923573285,0.412208767
411.8,0.381140697,0.384029651,0.919272921,0.41065191
411.9,0.380222808,0.38201186,0.914972558,0.409095053
412.0,0.379304918,0.37999407,0.910672195,0.407538196
412.1,0.378828726,0.378799519,0.907762408,0.406637492
412.2,0.379473976,0.379695116,0.908383196,0.407402711
412.3,0.380119225,0.380590713,0.909003983,0.408167931
412.4,0.380764474,0.38148631,0.90962477,0.408933151
412.5,0.381409724,0.382381907,0.910245558,0.40969837
412.6,0.382054973,0.383277504,0.910866345,0.41046359
412.7,0.382700223,0.384173101,0.911487132,0.41122881
412.8,0.383345472,0.385068698,0.91210792,0.411994029
