wavelength_nm,R,G,B,Gray
400.0,0.963570583,0.918848839,0.783136792,0.935707391
400.1,0.965591106,0.920243161,0.785342806,0.937531404
400.2,0.967611629,0.921637482,0.78754882,0.939355417
400.3,0.969632152,0.923031804,0.789754834,0.94117943
400.4,0.971652676,0.924426125,0.791960848,0.943003443
400.5,0.973673199,0.925820446,0.794166862,0.944827457
400.6,0.974806313,0.926287341,0.796569184,0.945968863
400.7,0.975718808,0.926523666,0.799020311,0.946940566
400.8,0.976631302,0.926759992,0.801471437,0.947912268
400.9,0.977543796,0.926996318,0.803922564,0.948883971
401.0,0.978456291,0.927232643,0.806373691,0.949855674
401.1,0.979368785,0.927468969,0.808824817,0.950827377
401.2,0.980281279,0.927705295,0.811275944,0.951799079
401.3,0.981193774,0.92794162,0.81372707,0.952770782
401.4,0.982106268,0.928177946,0.816178197,0.953742485
401.5,0.982780246,0.927744033,0.818647263,0.954305824
401.6,0.983432027,0.927247749,0.821117999,0.954831162
401.7,0.984083809,0.926751465,0.823588735,0.9553565
401.8,0.984735591,0.926255181,0.82605947,0.955881838
401.9,0.985387372,0.925758897,0.828530206,0.956407177
402.0,0.986039154,0.925262613,0.831000942,0.956932515
402.1,0.986690936,0.924766329,0.833471677,0.957457853
402.2,0.987342717,0.924270045,0.835942413,0.957983191
402.3,0.987993559,0.923787393,0.838414421,0.958515579
402.4,0.988612752,0.923763761,0.840929277,0.959285344
402.5,0.989231944,0.923740128,0.843444133,0.960055109
402.6,0.989851137,0.923716495,0.845958989,0.960824874
402.7,0.99047033,0.923692863,0.848473845,0.961594639
402.8,0.991089522,0.92366923,0.850988701,0.962364404
402.9,0.991708715,0.923645598,0.853503557,0.963134169
403.0,0.992327908,0.923621965,0.856018413,0.963903934
403.1,0.9929471,0.923598333,0.858533269,0.964673699
403.2,0.993583358,0.923522386,0.86102222,0.965415184
403.3,0.994322044,0.923132448,0.863355693,0.965986936
403.4,0.99506073,0.922742511,0.865689165,0.966558687
403.5,0.995799416,0.922352574,0.868022638,0.967130438
403.6,0.996538102,0.921962636,0.87035611,0.967702189
403.7,0.997276788,0.921572699,0.872689583,0.968273941
403.8,0.998015474,0.921182762,0.875023055,0.968845692
403.9,0.99875416,0.920792824,0.877356528,0.969417443
404.0,0.999492846,0.920402887,0.87969,0.969989194
404.1,1,0.919940126,0.881634486,0.970363861
404.2,0.999837055,0.919266598,0.882453162,0.970168125
404.3,0.999674109,0.91859307,0.883271838,0.969972389
404.4,0.999511164,0.917919541,0.884090515,0.969776652
404.5,0.999348218,0.917246013,0.884909191,0.969580916
404.6,0.999185273,0.916572485,0.885727867,0.96938518
404.7,0.999022327,0.915898957,0.886546543,0.969189444
404.8,0.998859382,0.915225429,0.88736522,0.968993708
404.9,0.998696437,0.914551901,0.888183896,0.968797972
405.0,0.997309083,0.913422739,0.889885924,0.968231657
405.1,0.993843777,0.911520317,0.893087095,0.96703643
405.2,0.990378471,0.909617896,0.896288267,0.965841204
405.3,0.986913165,0.907715474,0.899489438,0.964645977
405.4,0.983447859,0.905813053,0.902690609,0.96345075
405.5,0.979982553,0.903910631,0.905891781,0.962255524
405.6,0.976517247,0.902008209,0.909092952,0.961060297
405.7,0.973051941,0.900105788,0.912294124,0.959865071
405.8,0.969586635,0.898203366,0.915495295,0.958669844
405.9,0.9670797,0.896747718,0.917227893,0.957623931
406.0,0.965591466,0.895766966,0.917399472,0.95673673
406.1,0.964103231,0.894786215,0.917571051,0.95584953
406.2,0.962614996,0.893805463,0.917742629,0.954962329
406.3,0.961126761,0.892824712,0.917914208,0.954075129
406.4,0.959638526,0.89184396,0.918085787,0.953187928
406.5,0.958150291,0.890863209,0.918257366,0.952300728
406.6,0.956662056,0.889882457,0.918428945,0.951413527
406.7,0.955173821,0.888901706,0.918600524,0.950526327
406.8,0.955617244,0.88951982,0.919902104,0.951283957
406.9,0.957355328,0.891209548,0.921961051,0.95314401
407.0,0.959093413,0.892899277,0.924019997,0.955004062
407.1,0.960831497,0.894589005,0.926078944,0.956864114
407.2,0.962569582,0.896278734,0.92813789,0.958724167
407.3,0.964307666,0.897968462,0.930196836,0.960584219
407.4,0.966045751,0.899658191,0.932255783,0.962444272
407.5,0.967783835,0.901347919,0.934314729,0.964304324
407.6,0.96952192,0.903037648,0.936373675,0.966164377
407.7,0.971724525,0.905569516,0.939033557,0.968734605
407.8,0.974114391,0.908440872,0.94193569,0.971591125
407.9,0.976504258,0.911312229,0.944837824,0.974447645
408.0,0.978894124,0.914183586,0.947739958,0.977304165
408.1,0.98128399,0.917054943,0.950642092,0.980160684
408.2,0.983673856,0.9199263,0.953544226,0.983017204
408.3,0.986063723,0.922797656,0.95644636,0.985873724
408.4,0.988453589,0.925669013,0.959348494,0.988730244
408.5,0.990843455,0.92854037,0.962250628,0.991586764
408.6,0.99180548,0.929370181,0.964475987,0.992823464
408.7,0.992468125,0.929771935,0.966559445,0.993720531
408.8,0.993130769,0.930173688,0.968642903,0.994617598
408.9,0.993793414,0.930575442,0.97072636,0.995514665
409.0,0.994456059,0.930977196,0.972809818,0.996411732
409.1,0.995118704,0.931378949,0.974893276,0.997308799
409.2,0.995781348,0.931780703,0.976976733,0.998205866
409.3,0.996443993,0.932182457,0.979060191,0.999102933
409.4,0.997106638,0.93258421,0.981143648,1
409.5,0.995582576,0.929418072,0.981733051,0.998079209
409.6,0.993920533,0.926026799,0.982228179,0.99598061
409.7,0.99225849,0.922635526,0.982723307,0.993882012
409.8,0.990596446,0.919244252,0.983218434,0.991783413
409.9,0.988934403,0.915852979,0.983713562,0.989684814
410.0,0.98727236,0.912461706,0.984208689,0.987586215
410.1,0.985610316,0.909070433,0.984703817,0.985487617
410.2,0.983948273,0.905679159,0.985198944,0.983389018
410.3,0.982233422,0.902243998,0.985646678,0.981241388
410.4,0.979604569,0.898049218,0.985274107,0.978245122
410.5,0.976975716,0.893854437,0.984901535,0.975248856
410.6,0.974346864,0.889659657,0.984528964,0.972252589
410.7,0.971718011,0.885464876,0.984156393,0.969256323
410.8,0.969089158,0.881270096,0.983783822,0.966260057
410.9,0.966460305,0.877075315,0.98341125,0.963263791
411.0,0.963831452,0.872880535,0.983038679,0.960267524
411.1,0.961202599,0.868685754,0.982666108,0.957271258
411.2,0.95875323,0.864767886,0.982339821,0.954479702
411.3,0.957188954,0.862215569,0.982241776,0.95269764
411.4,0.955624678,0.859663252,0.982143731,0.950915577
411.5,0.954060402,0.857110935,0.982045686,0.949133515
411.6,0.952496126,0.854558618,0.98194764,0.947351453
411.7,0.950931849,0.852006301,0.981849595,0.94556939
411.8,0.949367573,0.849453983,0.98175155,0.943787328
411.9,0.947803297,0.846901666,0.981653505,0.942005265
412.0,0.946239021,0.844349349,0.98155546,0.940223203
412.1,0.944619493,0.842882189,0.981007213,0.938875118
412.2,0.942859682,0.844170164,0.979315936,0.938628869
412.3,0.941099872,0.845458139,0.977624658,0.93838262
412.4,0.939340061,0.846746114,0.975933381,0.938136371
412.5,0.93758025,0.848034089,0.974242104,0.937890122
412.6,0.93582044,0.849322063,0.972550826,0.937643873
412.7,0.934060629,0.850610038,0.970859549,0.937397624
412.8,0.932300819,0.851898013,0.969168271,0.937151375
412.9,0.930541008,0.853185988,0.967476994,0.936905126
413.0,0.930392278,0.854876934,0.967027916,0.937624301
413.1,0.93269524,0.857181109,0.968469178,0.939812631
413.2,0.934998202,0.859485284,0.969910441,0.94200096
413.3,0.937301164,0.86178946,0.971351703,0.944189289
413.4,0.939604126,0.864093635,0.972792966,0.946377618
413.5,0.941907088,0.86639781,0.974234228,0.948565948
413.6,0.94421005,0.868701985,0.975675491,0.950754277
413.7,0.946513012,0.87100616,0.977116753,0.952942606
413.8,0.948815974,0.873310336,0.978558016,0.955130935
413.9,0.951579239,0.876338408,0.980292095,0.957893244
414.0,0.954783832,0.880060538,0.982306921,0.96120587
414.1,0.957988426,0.883782667,0.984321747,0.964518497
414.2,0.961193019,0.887504796,0.986336574,0.967831124
414.3,0.964397612,0.891226925,0.9883514,0.97114375
414.4,0.967602206,0.894949054,0.990366226,0.974456377
414.5,0.970806799,0.898671183,0.992381052,0.977769003
414.6,0.974011392,0.902393313,0.994395878,0.98108163
414.7,0.977215986,0.906115442,0.996410704,0.984394257
414.8,0.978561779,0.907623797,0.997372392,0.985785064
414.9,0.978789903,0.907801042,0.997700843,0.986020307
415.0,0.979018027,0.907978286,0.998029294,0.986255551
415.1,0.97924615,0.90815553,0.998357745,0.986490795
415.2,0.979474274,0.908332774,0.998686196,0.986726038
415.3,0.979702397,0.908510019,0.999014647,0.986961282
415.4,0.979930521,0.908687263,0.999343098,0.987196526
415.5,0.980158645,0.908864507,0.999671549,0.987431769
415.6,0.980386768,0.909041751,1,0.987667013
415.7,0.978994436,0.907700669,0.999445126,0.986446919
415.8,0.977028228,0.90582188,0.998577427,0.984711425
415.9,0.97506202,0.903943091,0.997709728,0.982975931
416.0,0.973095812,0.902064302,0.996842029,0.981240437
416.1,0.971129603,0.900185513,0.995974331,0.979504943
416.2,0.969163395,0.898306724,0.995106632,0.977769449
416.3,0.967197187,0.896427935,0.994238933,0.976033955
416.4,0.965230979,0.894549146,0.993371234,0.974298461
416.5,0.963264771,0.892670357,0.992503535,0.972562967
416.6,0.961835653,0.891355644,0.991669268,0.971278686
416.7,0.960499501,0.890138567,0.990840787,0.970072506
416.8,0.959163348,0.88892149,0.990012306,0.968866326
416.9,0.957827196,0.887704412,0.989183825,0.967660145
417.0,0.956491043,0.886487335,0.988355345,0.966453965
417.1,0.955154891,0.885270258,0.987526864,0.965247785
417.2,0.953818738,0.884053181,0.986698383,0.964041605
417.3,0.952482586,0.882836104,0.985869902,0.962835424
417.4,0.951146433,0.881619027,0.985041421,0.961629244
417.5,0.951427019,0.882697278,0.984847787,0.962217142
417.6,0.951763773,0.883855274,0.984676208,0.96286737
417.7,0.952100526,0.88501327,0.984504629,0.963517598
417.8,0.95243728,0.886171265,0.98433305,0.964167826
417.9,0.952774034,0.887329261,0.984161471,0.964818054
418.0,0.953110788,0.888487257,0.983989892,0.965468282
418.1,0.953447542,0.889645253,0.983818314,0.96611851
418.2,0.953784296,0.890803248,0.983646735,0.966768738
418.3,0.954216249,0.892021096,0.983512599,0.967485891
418.4,0.955737073,0.893923518,0.983806735,0.968968531
418.5,0.957257897,0.895825939,0.98410087,0.970451171
418.6,0.958778721,0.897728361,0.984395005,0.97193381
418.7,0.960299545,0.899630782,0.98468914,0.97341645
418.8,0.961820369,0.901533204,0.984983275,0.97489909
418.9,0.963341193,0.903435626,0.985277411,0.976381729
419.0,0.964862017,0.905338047,0.985571546,0.977864369
419.1,0.966382841,0.907240469,0.985865681,0.979347009
419.2,0.966402383,0.907470822,0.985876811,0.979473731
419.3,0.960199594,0.90077099,0.984714977,0.973980613
419.4,0.953996804,0.894071157,0.983553143,0.968487494
419.5,0.947794015,0.887371325,0.982391309,0.962994376
419.6,0.941591226,0.880671492,0.981229475,0.957501257
419.7,0.935388437,0.873971659,0.980067641,0.952008139
419.8,0.929185648,0.867271827,0.978905807,0.94651502
419.9,0.922982859,0.860571994,0.977743973,0.941021902
420.0,0.91678007,0.853872162,0.976582139,0.935528783
420.1,0.913501504,0.850469755,0.976130764,0.932735928
420.2,0.916782139,0.854463658,0.977272989,0.935999915
420.3,0.920062774,0.858457562,0.978415214,0.939263903
420.4,0.923343408,0.862451466,0.979557439,0.942527891
420.5,0.926624043,0.866445369,0.980699664,0.945791878
420.6,0.929904677,0.870439273,0.981841889,0.949055866
