wavelength_nm,R,G,B,Gray
400.0,0.391020391,0.40494879,0.569698665,0.408545544
400.1,0.390899649,0.40452489,0.569371813,0.4082998
400.2,0.390778907,0.40410099,0.56904496,0.408054057
400.3,0.390658165,0.40367709,0.568718107,0.407808313
400.4,0.390537423,0.40325319,0.568391254,0.407562569
400.5,0.390416681,0.40282929,0.568064401,0.407316826
400.6,0.389744,0.401771661,0.566523873,0.406443979
400.7,0.388934101,0.400556481,0.564681612,0.405415228
400.8,0.388124201,0.3993413,0.562839351,0.404386477
400.9,0.387314302,0.39812612,0.56099709,0.403357726
401.0,0.386504403,0.396910939,0.559154828,0.402328975
401.1,0.385694503,0.395695759,0.557312567,0.401300224
401.2,0.384884604,0.394480578,0.555470306,0.400271473
401.3,0.384074704,0.393265398,0.553628045,0.399242722
401.4,0.383264805,0.392050217,0.551785783,0.398213971
401.5,0.383183958,0.392510383,0.552487964,0.398384008
401.6,0.383170955,0.393126451,0.553426923,0.3986656
401.7,0.383157952,0.393742519,0.554365882,0.398947192
401.8,0.383144949,0.394358588,0.555304841,0.399228784
401.9,0.383131946,0.394974656,0.5562438,0.399510376
402.0,0.383118943,0.395590724,0.557182759,0.399791968
402.1,0.383105941,0.396206792,0.558121718,0.40007356
402.2,0.383092938,0.396822861,0.559060677,0.400355152
402.3,0.383088078,0.397478214,0.560037686,0.400658315
402.4,0.383357425,0.399456415,0.562295941,0.401687827
402.5,0.383626772,0.401434615,0.564554197,0.40271734
402.6,0.38389612,0.403412816,0.566812453,0.403746852
402.7,0.384165467,0.405391017,0.569070708,0.404776364
402.8,0.384434814,0.407369218,0.571328964,0.405805876
402.9,0.384704162,0.409347418,0.57358722,0.406835388
403.0,0.384973509,0.411325619,0.575845476,0.407864901
403.1,0.385242856,0.41330382,0.578103731,0.408894413
403.2,0.385402108,0.41492766,0.579985152,0.409706294
403.3,0.384900564,0.414424632,0.579604815,0.409211956
403.4,0.384399021,0.413921604,0.579224477,0.408717617
403.5,0.383897478,0.413418576,0.578844139,0.408223279
403.6,0.383395935,0.412915548,0.578463801,0.40772894
403.7,0.382894391,0.41241252,0.578083463,0.407234601
403.8,0.382392848,0.411909491,0.577703126,0.406740263
403.9,0.381891305,0.411406463,0.577322788,0.406245924
404.0,0.381389762,0.410903435,0.57694245,0.405751586
404.1,0.380738915,0.409873553,0.575998997,0.404941646
404.2,0.379655953,0.407318848,0.573425774,0.403218293
404.3,0.378572991,0.404764143,0.570852551,0.40149494
404.4,0.377490029,0.402209438,0.568279328,0.399771586
404.5,0.376407067,0.399654733,0.565706105,0.398048233
404.6,0.375324106,0.397100028,0.563132882,0.39632488
404.7,0.374241144,0.394545323,0.560559659,0.394601527
404.8,0.373158182,0.391990618,0.557986436,0.392878174
404.9,0.37207522,0.389435913,0.555413214,0.39115482
405.0,0.371945454,0.390087443,0.556706938,0.39140714
405.1,0.373433366,0.396180301,0.56456329,0.39501239
405.2,0.374921277,0.40227316,0.572419643,0.398617641
405.3,0.376409189,0.408366018,0.580275996,0.402222891
405.4,0.377897101,0.414458876,0.588132348,0.405828142
405.5,0.379385012,0.420551734,0.595988701,0.409433392
405.6,0.380872924,0.426644593,0.603845054,0.413038643
405.7,0.382360835,0.432737451,0.611701407,0.416643893
405.8,0.383848747,0.438830309,0.619557759,0.420249144
405.9,0.384446121,0.441564212,0.623127601,0.421830003
406.0,0.384096898,0.440727715,0.6221411,0.421259037
406.1,0.383747675,0.439891219,0.621154599,0.420688072
406.2,0.383398453,0.439054723,0.620168097,0.420117106
406.3,0.38304923,0.438218227,0.619181596,0.41954614
406.4,0.382700007,0.43738173,0.618195095,0.418975175
406.5,0.382350784,0.436545234,0.617208594,0.418404209
406.6,0.382001562,0.435708738,0.616222093,0.417833243
406.7,0.381652339,0.434872241,0.615235592,0.417262278
406.8,0.381264191,0.433863163,0.614131675,0.416598125
406.9,0.380849953,0.432738415,0.612949062,0.415871516
407.0,0.380435716,0.431613666,0.611766449,0.415144907
407.1,0.380021478,0.430488918,0.610583836,0.414418298
407.2,0.379607241,0.429364169,0.609401223,0.413691689
407.3,0.379193003,0.428239421,0.60821861,0.41296508
407.4,0.378778765,0.427114673,0.607035998,0.41223847
407.5,0.378364528,0.425989924,0.605853385,0.411511861
407.6,0.37795029,0.424865176,0.604670772,0.410785252
407.7,0.377385131,0.423458457,0.603191682,0.409849781
407.8,0.376759131,0.421938068,0.601593075,0.408830112
407.9,0.37613313,0.42041768,0.599994468,0.407810443
408.0,0.37550713,0.418897291,0.59839586,0.406790773
408.1,0.37488113,0.417376903,0.596797253,0.405771104
408.2,0.37425513,0.415856514,0.595198646,0.404751435
408.3,0.373629129,0.414336126,0.593600038,0.403731766
408.4,0.373003129,0.412815737,0.592001431,0.402712097
408.5,0.372377129,0.411295348,0.590402824,0.401692428
408.6,0.372098173,0.410681393,0.589865363,0.401273133
408.7,0.371891983,0.410257493,0.589550395,0.400979721
408.8,0.371685793,0.409833593,0.589235428,0.400686309
408.9,0.371479603,0.409409693,0.588920461,0.400392896
409.0,0.371273413,0.408985793,0.588605494,0.400099484
409.1,0.371067223,0.408561893,0.588290526,0.399806072
409.2,0.370861033,0.408137992,0.587975559,0.399512659
409.3,0.370654843,0.407714092,0.587660592,0.399219247
409.4,0.370448653,0.407290192,0.587345625,0.398925835
409.5,0.370501065,0.40755744,0.587645562,0.399073661
409.6,0.370569795,0.407868301,0.587984301,0.399249329
409.7,0.370638525,0.408179161,0.588323039,0.399424997
409.8,0.370707255,0.408490021,0.588661777,0.399600665
409.9,0.370775985,0.408800881,0.589000516,0.399776333
410.0,0.370844715,0.409111741,0.589339254,0.399952002
410.1,0.370913445,0.409422601,0.589677992,0.40012767
410.2,0.370982175,0.409733461,0.590016731,0.400303338
410.3,0.371044513,0.410041543,0.590348003,0.400473858
410.4,0.370996216,0.410301535,0.590550058,0.400555282
410.5,0.370947919,0.410561527,0.590752112,0.400636706
410.6,0.370899623,0.410821519,0.590954167,0.400718129
410.7,0.370851326,0.411081511,0.591156221,0.400799553
410.8,0.370803029,0.411341503,0.591358276,0.400880976
410.9,0.370754732,0.411601496,0.59156033,0.4009624
411.0,0.370706436,0.411861488,0.591762385,0.401043823
411.1,0.370658139,0.41212148,0.591964439,0.401125247
411.2,0.370598255,0.412284276,0.592085337,0.401159035
411.3,0.370481228,0.411967763,0.591806027,0.400957919
411.4,0.370364201,0.411651251,0.591526716,0.400756802
411.5,0.370247174,0.411334739,0.591247405,0.400555685
411.6,0.370130148,0.411018227,0.590968095,0.400354569
411.7,0.370013121,0.410701715,0.590688784,0.400153452
411.8,0.369896094,0.410385203,0.590409474,0.399952336
411.9,0.369779067,0.410068691,0.590130163,0.399751219
412.0,0.369662041,0.409752179,0.589850853,0.399550103
412.1,0.36943951,0.409787027,0.589474145,0.399411156
412.2,0.368949112,0.410713956,0.588850153,0.399430053
412.3,0.368458714,0.411640884,0.588226162,0.399448949
412.4,0.367968316,0.412567812,0.58760217,0.399467846
412.5,0.367477918,0.413494741,0.586978178,0.399486743
412.6,0.366987521,0.414421669,0.586354186,0.39950564
412.7,0.366497123,0.415348597,0.585730195,0.399524537
412.8,0.366006725,0.416275526,0.585106203,0.399543434
412.9,0.365516327,0.417202454,0.584482211,0.399562331
413.0,0.365159993,0.417882841,0.584143367,0.399586317
413.1,0.365007672,0.418188049,0.584238452,0.399618049
413.2,0.364855352,0.418493257,0.584333536,0.399649781
413.3,0.364703031,0.418798465,0.58442862,0.399681513
413.4,0.364550711,0.419103674,0.584523705,0.399713245
413.5,0.36439839,0.419408882,0.584618789,0.399744977
413.6,0.36424607,0.41971409,0.584713874,0.39977671
413.7,0.364093749,0.420019298,0.584808958,0.399808442
413.8,0.363941429,0.420324506,0.584904043,0.399840174
413.9,0.363646859,0.420289228,0.584829228,0.399655103
414.0,0.363215903,0.4199275,0.584591516,0.399262167
414.1,0.362784947,0.419565772,0.584353805,0.398869231
414.2,0.362353992,0.419204044,0.584116094,0.398476294
414.3,0.361923036,0.418842316,0.583878383,0.398083358
414.4,0.36149208,0.418480587,0.583640672,0.397690422
414.5,0.361061125,0.418118859,0.583402961,0.397297486
414.6,0.360630169,0.417757131,0.58316525,0.396904549
414.7,0.360199213,0.417395403,0.582927539,0.396511613
414.8,0.359441124,0.416447751,0.581684078,0.395650654
414.9,0.358486335,0.41514779,0.579835874,0.394508278
415.0,0.357531545,0.41384783,0.57798767,0.393365903
415.1,0.356576755,0.412547869,0.576139466,0.392223528
415.2,0.355621965,0.411247909,0.574291262,0.391081152
415.3,0.354667176,0.409947948,0.572443058,0.389938777
415.4,0.353712386,0.408647988,0.570594854,0.388796402
415.5,0.352757596,0.407348027,0.56874665,0.387654027
415.6,0.351802807,0.406048067,0.566898446,0.386511651
415.7,0.351171753,0.405357489,0.565963067,0.385837676
415.8,0.35065535,0.404882721,0.565350961,0.385329583
415.9,0.350138946,0.404407953,0.564738855,0.384821489
416.0,0.349622542,0.403933184,0.564126749,0.384313395
416.1,0.349106138,0.403458416,0.563514643,0.383805302
416.2,0.348589734,0.402983648,0.562902537,0.383297208
416.3,0.348073331,0.40250888,0.56229043,0.382789115
416.4,0.347556927,0.402034112,0.561678324,0.382281021
416.5,0.347040523,0.401559344,0.561066218,0.381772928
416.6,0.347358614,0.402226452,0.562460215,0.382291783
416.7,0.347821149,0.403091208,0.564201449,0.382988394
416.8,0.348283683,0.403955964,0.565942683,0.383685005
416.9,0.348746217,0.404820721,0.567683917,0.384381617
417.0,0.349208751,0.405685477,0.569425151,0.385078228
417.1,0.349671286,0.406550233,0.571166385,0.385774839
417.2,0.35013382,0.40741499,0.572907619,0.38647145
417.3,0.350596354,0.408279746,0.574648853,0.387168061
417.4,0.351058889,0.409144502,0.576390087,0.387864672
417.5,0.351458591,0.410713887,0.577999226,0.388774614
417.6,0.351856111,0.412307751,0.579603776,0.389691968
417.7,0.35225363,0.413901616,0.581208326,0.390609322
417.8,0.352651149,0.415495481,0.582812876,0.391526676
417.9,0.353048669,0.417089345,0.584417426,0.39244403
418.0,0.353446188,0.41868321,0.586021976,0.393361384
418.1,0.353843708,0.420277074,0.587626526,0.394278738
418.2,0.354241227,0.421870939,0.589231077,0.395196092
418.3,0.354630532,0.423368012,0.590774946,0.396069257
418.4,0.354925886,0.423758,0.591624763,0.396436995
418.5,0.355221239,0.424147988,0.592474581,0.396804733
418.6,0.355516592,0.424537976,0.593324398,0.397172471
418.7,0.355811945,0.424927964,0.594174215,0.397540209
