wavelength_nm,R,G,B,Gray
400.0,0.397507092,0.36692137,0.470571147,0.576908128
400.1,0.399222653,0.368199086,0.472873622,0.579234013
400.2,0.400938215,0.369476802,0.475176096,0.581559899
400.3,0.402653776,0.370754518,0.477478571,0.583885785
400.4,0.404369338,0.372032234,0.479781045,0.586211671
400.5,0.406084899,0.37330995,0.48208352,0.588537557
400.6,0.406769979,0.373979405,0.484327103,0.589997907
400.7,0.407198869,0.37449764,0.486556045,0.591243075
400.8,0.40762776,0.375015874,0.488784988,0.592488243
400.9,0.40805665,0.375534108,0.49101393,0.593733411
401.0,0.408485541,0.376052343,0.493242873,0.594978579
401.1,0.408914431,0.376570577,0.495471815,0.596223747
401.2,0.409343321,0.377088812,0.497700757,0.597468916
401.3,0.409772212,0.377607046,0.4999297,0.598714084
401.4,0.410201102,0.378125281,0.502158642,0.599959252
401.5,0.410397473,0.377838338,0.504225711,0.600425281
401.6,0.410572206,0.377476467,0.506277717,0.600818806
401.7,0.410746939,0.377114596,0.508329723,0.601212331
401.8,0.410921672,0.376752726,0.510381728,0.601605856
401.9,0.411096405,0.376390855,0.512433734,0.601999381
402.0,0.411271138,0.376028985,0.51448574,0.602392906
402.1,0.411445872,0.375667114,0.516537745,0.602786431
402.2,0.411620605,0.375305243,0.518589751,0.603179956
402.3,0.411783121,0.374948269,0.520629297,0.603569402
402.4,0.411534259,0.374756165,0.522249302,0.60382149
402.5,0.411285396,0.374564061,0.523869306,0.604073579
402.6,0.411036534,0.374371956,0.525489311,0.604325668
402.7,0.410787672,0.374179852,0.527109316,0.604577756
402.8,0.410538809,0.373987748,0.52872932,0.604829845
402.9,0.410289947,0.373795644,0.530349325,0.605081934
403.0,0.410041085,0.37360354,0.531969329,0.605334022
403.1,0.409792222,0.373411436,0.533589334,0.605586111
403.2,0.409563021,0.373214227,0.535166675,0.605827908
403.3,0.409451828,0.372986383,0.536487956,0.606007935
403.4,0.409340634,0.372758538,0.537809236,0.606187961
403.5,0.40922944,0.372530694,0.539130516,0.606367988
403.6,0.409118246,0.372302849,0.540451796,0.606548014
403.7,0.409007052,0.372075005,0.541773077,0.606728041
403.8,0.408895859,0.37184716,0.543094357,0.606908067
403.9,0.408784665,0.371619316,0.544415637,0.607088094
404.0,0.408673471,0.371391471,0.545736917,0.60726812
404.1,0.408555479,0.37120378,0.546890026,0.607426966
404.2,0.40841781,0.371132299,0.547556411,0.60752451
404.3,0.408280142,0.371060819,0.548222796,0.607622053
404.4,0.408142473,0.370989338,0.54888918,0.607719597
404.5,0.408004805,0.370917858,0.549555565,0.60781714
404.6,0.407867136,0.370846377,0.55022195,0.607914684
404.7,0.407729468,0.370774896,0.550888335,0.608012227
404.8,0.407591799,0.370703416,0.55155472,0.608109771
404.9,0.40745413,0.370631935,0.552221105,0.608207314
