wavelength_nm,R,G,B,Gray
400.0,0.341821917,0.514752091,0.814135728,0.552327906
400.1,0.342749567,0.516032765,0.816933874,0.553793894
400.2,0.343677217,0.517313438,0.81973202,0.555259882
400.3,0.344604867,0.518594111,0.822530166,0.55672587
400.4,0.345532516,0.519874785,0.825328312,0.558191859
400.5,0.346460166,0.521155458,0.828126458,0.559657847
400.6,0.346544322,0.520375189,0.828035806,0.559218275
400.7,0.346418775,0.519082547,0.827226967,0.55830496
400.8,0.346293229,0.517789905,0.826418128,0.557391646
400.9,0.346167682,0.516497262,0.825609289,0.556478331
401.0,0.346042135,0.51520462,0.82480045,0.555565016
401.1,0.345916589,0.513911977,0.823991611,0.554651701
401.2,0.345791042,0.512619335,0.823182772,0.553738386
401.3,0.345665496,0.511326693,0.822373933,0.552825071
401.4,0.345539949,0.51003405,0.821565094,0.551911756
401.5,0.345222972,0.509069906,0.820176271,0.551059498
401.6,0.344888181,0.508136331,0.818733477,0.550212921
401.7,0.34455339,0.507202756,0.817290683,0.549366345
401.8,0.344218599,0.506269181,0.815847889,0.548519768
401.9,0.343883808,0.505335606,0.814405095,0.547673191
402.0,0.343549017,0.504402031,0.812962301,0.546826615
402.1,0.343214226,0.503468456,0.811519507,0.545980038
402.2,0.342879435,0.502534881,0.810076713,0.545133462
402.3,0.342574416,0.50162547,0.808708316,0.544322535
402.4,0.343271897,0.501529718,0.809845062,0.544712054
402.5,0.343969378,0.501433967,0.810981809,0.545101573
402.6,0.34466686,0.501338216,0.812118556,0.545491092
402.7,0.345364341,0.501242464,0.813255303,0.54588061
402.8,0.346061822,0.501146713,0.814392049,0.546270129
402.9,0.346759303,0.501050962,0.815528796,0.546659648
403.0,0.347456784,0.500955211,0.816665543,0.547049167
403.1,0.348154265,0.500859459,0.81780229,0.547438686
403.2,0.348857723,0.500867979,0.819054552,0.547902931
403.3,0.349597053,0.501502331,0.821000138,0.548815683
403.4,0.350336383,0.502136683,0.822945724,0.549728434
403.5,0.351075713,0.502771036,0.824891309,0.550641186
403.6,0.351815043,0.503405388,0.826836895,0.551553938
403.7,0.352554373,0.50403974,0.828782481,0.55246669
403.8,0.353293703,0.504674092,0.830728067,0.553379442
403.9,0.354033033,0.505308445,0.832673653,0.554292194
404.0,0.354772363,0.505942797,0.834619239,0.555204945
404.1,0.355429303,0.506527973,0.836379575,0.556031243
404.2,0.355847792,0.506970823,0.837603764,0.556607326
404.3,0.356266281,0.507413672,0.838827953,0.557183409
404.4,0.356684769,0.507856522,0.840052142,0.557759492
404.5,0.357103258,0.508299372,0.841276331,0.558335575
404.6,0.357521747,0.508742221,0.84250052,0.558911658
404.7,0.357940235,0.509185071,0.843724708,0.559487741
404.8,0.358358724,0.509627921,0.844948897,0.560063824
404.9,0.358777213,0.51007077,0.846173086,0.560639907
405.0,0.358555658,0.510715535,0.847377012,0.560995272
405.1,0.357247881,0.51170297,0.84854655,0.560976054
405.2,0.355940104,0.512690405,0.849716087,0.560956836
405.3,0.354632327,0.51367784,0.850885625,0.560937618
405.4,0.35332455,0.514665275,0.852055162,0.560918399
405.5,0.352016773,0.51565271,0.8532247,0.560899181
405.6,0.350708996,0.516640145,0.854394237,0.560879963
405.7,0.349401219,0.517627581,0.855563775,0.560860745
405.8,0.348093441,0.518615016,0.856733312,0.560841527
405.9,0.346814403,0.518015646,0.855735819,0.559722621
406.0,0.345565912,0.515729584,0.852434881,0.557434805
406.1,0.34431742,0.513443522,0.849133943,0.555146989
406.2,0.343068929,0.51115746,0.845833005,0.552859172
406.3,0.341820438,0.508871399,0.842532068,0.550571356
406.4,0.340571947,0.506585337,0.83923113,0.548283539
406.5,0.339323456,0.504299275,0.835930192,0.545995723
406.6,0.338074964,0.502013213,0.832629254,0.543707907
406.7,0.336826473,0.499727151,0.829328317,0.54142009
406.8,0.336056128,0.498326091,0.827277311,0.540013351
406.9,0.335606253,0.497518189,0.826064052,0.539197141
407.0,0.335156377,0.496710288,0.824850794,0.538380931
407.1,0.334706502,0.495902386,0.823637535,0.53756472
407.2,0.334256627,0.495094485,0.822424277,0.53674851
407.3,0.333806751,0.494286583,0.821211018,0.535932299
407.4,0.333356876,0.493478682,0.81999776,0.535116089
407.5,0.332907001,0.492670781,0.818784501,0.534299879
407.6,0.332457126,0.491862879,0.817571242,0.533483668
407.7,0.332685779,0.492031682,0.818702752,0.533783721
407.8,0.333187965,0.492594221,0.820779501,0.534533768
407.9,0.333690152,0.49315676,0.82285625,0.535283816
408.0,0.334192338,0.493719298,0.824932999,0.536033864
408.1,0.334694524,0.494281837,0.827009748,0.536783912
408.2,0.335196711,0.494844376,0.829086497,0.537533959
408.3,0.335698897,0.495406915,0.831163246,0.538284007
408.4,0.336201084,0.495969454,0.833239995,0.539034055
408.5,0.33670327,0.496531992,0.835316744,0.539784103
408.6,0.337069959,0.496941169,0.836607386,0.540316075
408.7,0.337408237,0.49731819,0.837733202,0.540802323
408.8,0.337746515,0.49769521,0.838859019,0.541288571
408.9,0.338084794,0.498072231,0.839984835,0.541774819
409.0,0.338423072,0.498449252,0.841110652,0.542261067
409.1,0.33876135,0.498826273,0.842236468,0.542747315
409.2,0.339099629,0.499203293,0.843362285,0.543233563
409.3,0.339437907,0.499580314,0.844488101,0.543719811
409.4,0.339776185,0.499957335,0.845613918,0.544206059
409.5,0.339468223,0.499405529,0.845187229,0.543674435
409.6,0.339119482,0.498795115,0.844662577,0.543078583
409.7,0.338770742,0.498184701,0.844137924,0.542482731
409.8,0.338422001,0.497574286,0.843613272,0.54188688
409.9,0.338073261,0.496963872,0.84308862,0.541291028
410.0,0.33772452,0.496353457,0.842563967,0.540695176
410.1,0.33737578,0.495743043,0.842039315,0.540099325
410.2,0.337027039,0.495132628,0.841514663,0.539503473
410.3,0.336701728,0.494546729,0.841065831,0.538940178
410.4,0.336781938,0.494385149,0.841929322,0.538940391
410.5,0.336862149,0.494223569,0.842792812,0.538940604
410.6,0.336942359,0.494061989,0.843656302,0.538940816
410.7,0.337022569,0.493900408,0.844519793,0.538941029
410.8,0.33710278,0.493738828,0.845383283,0.538941242
410.9,0.33718299,0.493577248,0.846246773,0.538941455
411.0,0.3372632,0.493415667,0.847110264,0.538941667
411.1,0.337343411,0.493254087,0.847973754,0.53894188
411.2,0.337494764,0.493261002,0.84897914,0.539092903
411.3,0.337996951,0.494098826,0.85068426,0.539987626
411.4,0.338499137,0.49493665,0.85238938,0.540882348
411.5,0.339001324,0.495774474,0.8540945,0.54177707
411.6,0.33950351,0.496612297,0.85579962,0.542671792
411.7,0.340005696,0.497450121,0.85750474,0.543566515
411.8,0.340507883,0.498287945,0.859209861,0.544461237
411.9,0.341010069,0.499125768,0.860914981,0.545355959
412.0,0.341512256,0.499963592,0.862620101,0.546250681
412.1,0.341885349,0.500828473,0.865217821,0.547151006
412.2,0.341930685,0.501762048,0.870081785,0.548065553
412.3,0.341976022,0.502695623,0.87494575,0.5489801
412.4,0.342021358,0.503629198,0.879809714,0.549894647
412.5,0.342066694,0.504562773,0.884673679,0.550809195
412.6,0.342112031,0.505496348,0.889537643,0.551723742
412.7,0.342157367,0.506429923,0.894401608,0.552638289
412.8,0.342202703,0.507363498,0.899265572,0.553552836
412.9,0.342248039,0.508297073,0.904129537,0.554467384
413.0,0.342675062,0.509242513,0.907892574,0.555522102
413.1,0.343682922,0.510206011,0.909980253,0.556790128
413.2,0.344690782,0.511169508,0.912067932,0.558058153
413.3,0.345698642,0.512133005,0.914155611,0.559326179
413.4,0.346706502,0.513096503,0.91624329,0.560594205
413.5,0.347714363,0.51406,0.91833097,0.56186223
413.6,0.348722223,0.515023497,0.920418649,0.563130256
413.7,0.349730083,0.515986995,0.922506328,0.564398282
413.8,0.350737943,0.516950492,0.924594007,0.565666308
413.9,0.351603372,0.517651242,0.926625885,0.566693068
414.0,0.352332239,0.518100076,0.928604261,0.567488509
414.1,0.353061107,0.51854891,0.930582638,0.56828395
414.2,0.353789975,0.518997745,0.932561015,0.56907939
414.3,0.354518843,0.519446579,0.934539391,0.569874831
414.4,0.35524771,0.519895413,0.936517768,0.570670272
414.5,0.355976578,0.520344247,0.938496144,0.571465712
414.6,0.356705446,0.520793081,0.940474521,0.572261153
414.7,0.357434314,0.521241915,0.942452898,0.573056594
414.8,0.357869168,0.521186217,0.943810115,0.573344212
414.9,0.358127236,0.520827149,0.944793838,0.573326482
415.0,0.358385304,0.520468082,0.945777561,0.573308753
415.1,0.358643372,0.520109015,0.946761285,0.573291024
415.2,0.35890144,0.519749947,0.947745008,0.573273294
415.3,0.359159508,0.51939088,0.948728731,0.573255565
415.4,0.359417576,0.519031813,0.949712454,0.573237836
415.5,0.359675644,0.518672745,0.950696177,0.573220107
415.6,0.359933712,0.518313678,0.9516799,0.573202377
415.7,0.360565207,0.518834064,0.953478866,0.57397779
415.8,0.361328949,0.519665903,0.955566545,0.575034091
415.9,0.36209269,0.520497742,0.957654224,0.576090391
416.0,0.362856432,0.521329582,0.959741903,0.577146691
416.1,0.363620174,0.522161421,0.961829582,0.578202991
416.2,0.364383916,0.52299326,0.963917262,0.579259292
416.3,0.365147658,0.523825099,0.966004941,0.580315592
416.4,0.3659114,0.524656939,0.96809262,0.581371892
416.5,0.366675141,0.525488778,0.970180299,0.582428192
416.6,0.367557797,0.526616501,0.973330172,0.583799142
416.7,0.368461035,0.527795439,0.9766639,0.585224554
416.8,0.369364273,0.528974376,0.979997629,0.586649966
416.9,0.370267511,0.530153314,0.983331357,0.588075379
417.0,0.371170749,0.531332252,0.986665086,0.589500791
417.1,0.372073987,0.53251119,0.989998814,0.590926203
417.2,0.372977225,0.533690127,0.993332543,0.592351615
417.3,0.373880463,0.534869065,0.996666271,0.593777028
417.4,0.374783701,0.536048003,1,0.59520244
417.5,0.374658993,0.535532368,0.999604894,0.594793363
417.6,0.374498572,0.53495786,0.999080242,0.594320553
417.7,0.374338152,0.534383352,0.99855559,0.593847743
417.8,0.374177731,0.533808844,0.998030937,0.593374933
417.9,0.37401731,0.533234337,0.997506285,0.592902123
418.0,0.37385689,0.532659829,0.996981633,0.592429312
418.1,0.373696469,0.532085321,0.99645698,0.591956502
418.2,0.373536048,0.531510814,0.995932328,0.591483692
418.3,0.373305251,0.530838632,0.99525916,0.590903508
418.4,0.372269491,0.52904928,0.992887294,0.589095208
418.5,0.371233732,0.527259928,0.990515428,0.587286908
418.6,0.370197972,0.525470576,0.988143562,0.585478609
418.7,0.369162213,0.523681224,0.985771696,0.583670309
418.8,0.368126453,0.521891872,0.98339983,0.581862009
418.9,0.367090694,0.520102519,0.981027964,0.580053709
419.0,0.366054934,0.518313167,0.978656098,0.578245409
419.1,0.365019175,0.516523815,0.976284233,0.576437109
419.2,0.363559071,0.514294761,0.973321735,0.574092856
419.3,0.360340196,0.510243285,0.967911257,0.569527245
419.4,0.35712132,0.506191809,0.96250078,0.564961634
419.5,0.353902445,0.502140333,0.957090303,0.560396023
419.6,0.35068357,0.498088856,0.951679825,0.555830412
419.7,0.347464694,0.49403738,0.946269348,0.551264802
419.8,0.344245819,0.489985904,0.94085887,0.546699191
419.9,0.341026944,0.485934428,0.935448393,0.54213358
420.0,0.337808068,0.481882951,0.930037916,0.537567969
420.1,0.336051663,0.479953585,0.927633796,0.535285119
420.2,0.337575659,0.482784233,0.931973109,0.538122631
420.3,0.339099655,0.48561488,0.936312421,0.540960143
420.4,0.340623651,0.488445527,0.940651733,0.543797655
420.5,0.342147647,0.491276175,0.944991045,0.546635167
420.6,0.343671644,0.494106822,0.949330357,0.549472679
420.7,0.34519564,0.49693747,0.95366967,0.552310191
420.8,0.346719636,0.499768117,0.958008982,0.555147703
420.9,0.348243632,0.502598764,0.962348294,0.557985215
421.0,0.349506939,0.504891077,0.965949024,0.560304374
421.1,0.350413664,0.506447035,0.968539495,0.561914511
421.2,0.35132039,0.508002993,0.971129966,0.563524648
421.3,0.352227115,0.509558952,0.973720437,0.565134785
421.4,0.353133841,0.51111491,0.976310908,0.566744922
421.5,0.354040566,0.512670869,0.978901379,0.56835506
421.6,0.354947291,0.514226827,0.98149185,0.569965197
421.7,0.355854017,0.515782785,0.984082321,0.571575334
421.8,0.356760742,0.517338744,0.986672792,0.573185471
421.9,0.356425587,0.516744353,0.985388534,0.572557176
