source,standard_file,standard_peak_rank,standard_peak_wavelength_nm,standard_peak_prominence,standard_possible_hint,candidate_rank_for_standard,candidate_image_path,candidate_channel,candidate_y_local,candidate_peak_height,candidate_peak_prominence,candidate_image_rank,match_score,channel_compatibility,selection_status,selection_note
hg,data/raw/reference_spectrometer/hg/hg.txt,1,404.800000,564.965714,,1,data/raw/calibration/hg/hg_001_001_full.png,B,312.000,21.1064791,3.40918004,3,0.864000,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,1,404.800000,564.965714,,2,data/raw/calibration/hg/hg_001_001_full.png,B,286.000,18.6839967,2.31334858,2,0.775926,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,1,404.800000,564.965714,,3,data/raw/calibration/hg/hg_001_full.png,B,307.000,21.3197501,2.66783752,5,0.756240,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,2,408.000000,278.714286,,1,data/raw/calibration/hg/hg_001_001_full.png,B,312.000,21.1064791,3.40918004,3,0.686665,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,2,408.000000,278.714286,,2,data/raw/calibration/hg/hg_001_001_full.png,B,286.000,18.6839967,2.31334858,2,0.598592,1.000,selected,chosen by automatic monotonic fit search
hg,data/raw/reference_spectrometer/hg/hg.txt,2,408.000000,278.714286,,3,data/raw/calibration/hg/hg_001_full.png,B,307.000,21.3197501,2.66783752,5,0.578905,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,3,410.700000,1.11428571,,1,data/raw/calibration/hg/hg_001_001_full.png,B,312.000,21.1064791,3.40918004,3,0.514690,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,3,410.700000,1.11428571,,2,data/raw/calibration/hg/hg_001_001_full.png,B,286.000,18.6839967,2.31334858,2,0.426617,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,3,410.700000,1.11428571,,3,data/raw/calibration/hg/hg_001_full.png,B,307.000,21.3197501,2.66783752,5,0.406930,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,4,411.000000,1.05714286,,1,data/raw/calibration/hg/hg_001_001_full.png,B,312.000,21.1064791,3.40918004,3,0.514655,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,4,411.000000,1.05714286,,2,data/raw/calibration/hg/hg_001_001_full.png,B,286.000,18.6839967,2.31334858,2,0.426581,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,4,411.000000,1.05714286,,3,data/raw/calibration/hg/hg_001_full.png,B,307.000,21.3197501,2.66783752,5,0.406895,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,5,434.300000,11.4714286,near 435.8 nm possible_hint_only,1,data/raw/calibration/hg/hg_001_001_full.png,B,312.000,21.1064791,3.40918004,3,0.601107,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,5,434.300000,11.4714286,near 435.8 nm possible_hint_only,2,data/raw/calibration/hg/hg_001_001_full.png,B,286.000,18.6839967,2.31334858,2,0.513033,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,5,434.300000,11.4714286,near 435.8 nm possible_hint_only,3,data/raw/calibration/hg/hg_001_full.png,B,307.000,21.3197501,2.66783752,5,0.493347,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,6,435.000000,29.3428571,near 435.8 nm possible_hint_only,1,data/raw/calibration/hg/hg_001_001_full.png,B,312.000,21.1064791,3.40918004,3,0.612178,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,6,435.000000,29.3428571,near 435.8 nm possible_hint_only,2,data/raw/calibration/hg/hg_001_001_full.png,B,286.000,18.6839967,2.31334858,2,0.524104,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,6,435.000000,29.3428571,near 435.8 nm possible_hint_only,3,data/raw/calibration/hg/hg_001_full.png,B,307.000,21.3197501,2.66783752,5,0.504418,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,7,435.900000,520.028571,near 435.8 nm possible_hint_only,1,data/raw/calibration/hg/hg_001_001_full.png,B,312.000,21.1064791,3.40918004,3,0.916161,1.000,selected,chosen by automatic monotonic fit search
hg,data/raw/reference_spectrometer/hg/hg.txt,7,435.900000,520.028571,near 435.8 nm possible_hint_only,2,data/raw/calibration/hg/hg_001_001_full.png,B,286.000,18.6839967,2.31334858,2,0.828087,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,7,435.900000,520.028571,near 435.8 nm possible_hint_only,3,data/raw/calibration/hg/hg_001_full.png,B,307.000,21.3197501,2.66783752,5,0.808401,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,8,439.500000,1.08571429,,1,data/raw/calibration/hg/hg_001_001_full.png,B,312.000,21.1064791,3.40918004,3,0.514673,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,8,439.500000,1.08571429,,2,data/raw/calibration/hg/hg_001_001_full.png,B,286.000,18.6839967,2.31334858,2,0.426599,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,8,439.500000,1.08571429,,3,data/raw/calibration/hg/hg_001_full.png,B,307.000,21.3197501,2.66783752,5,0.406913,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,9,491.600000,8.57142857,,1,data/raw/calibration/hg/hg_001_001_full.png,B,312.000,21.1064791,3.40918004,3,0.398310,0.450,,
hg,data/raw/reference_spectrometer/hg/hg.txt,9,491.600000,8.57142857,,2,data/raw/calibration/hg/hg_001_001_full.png,G,428.000,13.2287276,1.56419998,4,0.322721,1.000,,
hg,data/raw/reference_spectrometer/hg/hg.txt,9,491.600000,8.57142857,,3,data/raw/calibration/hg/hg_001_001_full.png,B,286.000,18.6839967,2.31334858,2,0.310236,0.450,,
hg,data/raw/reference_spectrometer/hg/hg.txt,10,546.000000,460.185714,near 546.1 nm possible_hint_only,1,data/raw/calibration/hg/hg_001_001_full.png,B,312.000,21.1064791,3.40918004,3,0.758088,0.450,,
