source,image_path,channel,image_peak_rank,peak_y_local,peak_height,prominence,roi_x,roi_y,roi_w,roi_h,possible_hint
hg,data/raw/calibration/hg/hg_001_001_full.png,R,1,1033.000,21.6607336,1.29559683,0,0,915,1080,435.8/546.1/577.0
hg,data/raw/calibration/hg/hg_001_001_full.png,G,1,13.000,11.6972677,0.858204515,0,0,915,1080,435.8/546.1/577.0
hg,data/raw/calibration/hg/hg_001_001_full.png,G,2,106.000,11.9339579,0.583294596,0,0,915,1080,435.8/546.1/577.0
hg,data/raw/calibration/hg/hg_001_001_full.png,G,3,149.000,11.675722,0.717033468,0,0,915,1080,435.8/546.1/577.0
hg,data/raw/calibration/hg/hg_001_001_full.png,G,4,428.000,13.2287276,1.56419998,0,0,915,1080,435.8/546.1/577.0
hg,data/raw/calibration/hg/hg_001_001_full.png,G,5,441.000,13.9597191,0.904683876,0,0,915,1080,435.8/546.1/577.0
hg,data/raw/calibration/hg/hg_001_001_full.png,G,6,452.000,13.3565965,0.84761922,0,0,915,1080,435.8/546.1/577.0
hg,data/raw/calibration/hg/hg_001_001_full.png,G,7,461.000,13.0196721,1.71302107,0,0,915,1080,435.8/546.1/577.0
hg,data/raw/calibration/hg/hg_001_001_full.png,G,8,567.000,12.1809526,1.36504316,0,0,915,1080,435.8/546.1/577.0
hg,data/raw/calibration/hg/hg_001_001_full.png,B,1,40.000,17.8869634,0.93959416,0,0,915,1080,435.8/546.1/577.0
hg,data/raw/calibration/hg/hg_001_001_full.png,B,2,286.000,18.6839967,2.31334858,0,0,915,1080,435.8/546.1/577.0
hg,data/raw/calibration/hg/hg_001_001_full.png,B,3,312.000,21.1064791,3.40918004,0,0,915,1080,435.8/546.1/577.0
hg,data/raw/calibration/hg/hg_001_001_full.png,Gray,1,316.000,14.9935608,0.95742727,0,0,915,1080,435.8/546.1/577.0
hg,data/raw/calibration/hg/hg_001_001_full.png,Gray,2,424.000,15.7525117,1.37520903,0,0,915,1080,435.8/546.1/577.0
hg,data/raw/calibration/hg/hg_001_001_full.png,Gray,3,462.000,15.0971478,1.11126992,0,0,915,1080,435.8/546.1/577.0
