source,channel,peak_y_local,peak_height,prominence,possible_wavelength_hint
hg,G,280,18.383613,4.200341,577.0
hg,B,147,28.889354,7.664804,435.8
hg,Gray,279,17.676504,2.429201,546.1
na,R,343,107.013190,37.217721,589.3
na,R,394,31.976722,4.447238,589.3
na,G,266,16.029950,4.594661,589.3
na,G,335,42.754190,22.545935,589.3
na,B,265,11.541900,2.761484,589.3
na,Gray,267,20.101881,3.638837,589.3
na,Gray,340,57.678699,22.667583,589.3
hene,R,379,23.986034,3.815953,632.8
hene,Gray,375,13.124785,1.317537,632.8
