source,standard_file,standard_peak_rank,standard_wavelength_nm,standard_peak_height,standard_prominence,possible_hint
hg,data/raw/reference_spectrometer/hg/hg.txt,1,404.800000,574.285714,564.965714,
hg,data/raw/reference_spectrometer/hg/hg.txt,2,408.000000,288.014286,278.714286,
hg,data/raw/reference_spectrometer/hg/hg.txt,3,410.700000,10.1142857,1.11428571,
hg,data/raw/reference_spectrometer/hg/hg.txt,4,411.000000,10.0571429,1.05714286,
hg,data/raw/reference_spectrometer/hg/hg.txt,5,434.300000,20.7714286,11.4714286,near 435.8 nm possible_hint_only
hg,data/raw/reference_spectrometer/hg/hg.txt,6,435.000000,38.6714286,29.3428571,near 435.8 nm possible_hint_only
hg,data/raw/reference_spectrometer/hg/hg.txt,7,435.900000,529.571429,520.028571,near 435.8 nm possible_hint_only
hg,data/raw/reference_spectrometer/hg/hg.txt,8,439.500000,10.3,1.08571429,
hg,data/raw/reference_spectrometer/hg/hg.txt,9,491.600000,17.3285714,8.57142857,
hg,data/raw/reference_spectrometer/hg/hg.txt,10,546.000000,469.485714,460.185714,near 546.1 nm possible_hint_only
hg,data/raw/reference_spectrometer/hg/hg.txt,11,576.800000,289.614286,280.728571,near 577.0 nm possible_hint_only
hg,data/raw/reference_spectrometer/hg/hg.txt,12,578.800000,287.042857,278.1,near 577.0 nm possible_hint_only
na,data/raw/reference_spectrometer/na/na.txt,1,568.200000,7.01428571,0.414285714,
na,data/raw/reference_spectrometer/na/na.txt,2,568.700000,7.54285714,0.942857143,
na,data/raw/reference_spectrometer/na/na.txt,3,569.100000,7.37142857,0.771428571,
na,data/raw/reference_spectrometer/na/na.txt,4,584.000000,6.8,0.2,
na,data/raw/reference_spectrometer/na/na.txt,5,584.400000,6.8,0.2,
na,data/raw/reference_spectrometer/na/na.txt,6,584.700000,6.8,0.2,
na,data/raw/reference_spectrometer/na/na.txt,7,585.100000,6.8,0.2,
na,data/raw/reference_spectrometer/na/na.txt,8,587.400000,6.8,0.171428571,near 589.3 nm possible_hint_only
na,data/raw/reference_spectrometer/na/na.txt,9,589.500000,136.857143,130.257143,near 589.3 nm possible_hint_only
na,data/raw/reference_spectrometer/na/na.txt,10,591.100000,6.8,0.2,near 589.3 nm possible_hint_only
na,data/raw/reference_spectrometer/na/na.txt,11,591.500000,6.8,0.2,near 589.3 nm possible_hint_only
na,data/raw/reference_spectrometer/na/na.txt,12,591.900000,6.77142857,0.171428571,near 589.3 nm possible_hint_only
hene,data/raw/reference_spectrometer/hene/hene.txt,1,631.600000,40.1428571,31.6428571,near 632.8 nm possible_hint_only
